term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),-1.07517361777366e-06,0.000143924163721225,0.455041440373465,-3.89608722670967e-06,1.74573999116235e-06,non-significant,burned_area,SLN,Intercept,1.43924163721225e-06,Non-Significant
nitrogen_depo,7.07220653847707e-07,0.00023190483262413,0.760396527223916,-3.83811406558524e-06,5.25255537328065e-06,non-significant,burned_area,SLN,Nitrogen Deposition,2.3190483262413e-06,Non-Significant
mat_coef,4.25123093142452e-06,0.000172580513266795,0.0137681825142276,8.68652871395346e-07,7.6338089914537e-06,significant,burned_area,SLN,MAT Trend,1.72580513266795e-06,Sig. Positive
max_temp_coef,-3.41583509107463e-07,9.6187436385949e-05,0.722498921255664,-2.22685726227206e-06,1.54369024405714e-06,non-significant,burned_area,SLN,Max Temp Trend,9.6187436385949e-07,Non-Significant
map_coef,5.42766928956471e-08,7.08328637054048e-05,0.938921004554475,-1.33404743573029e-06,1.44260082152158e-06,non-significant,burned_area,SLN,MAP Trend,7.08328637054048e-07,Non-Significant
human_modification,1.04348033749923e-06,6.48371196108223e-05,0.10753724734957,-2.27327206872884e-07,2.31428788187135e-06,non-significant,burned_area,SLN,Human Modification,6.48371196108223e-07,Non-Significant
(Intercept),1.86340788057676e-06,8.97970380597868e-05,0.0379848823742999,1.03385934604942e-07,3.62342982654858e-06,significant,burned_area,TMC,Intercept,8.97970380597868e-07,Sig. Positive
nitrogen_depo,-6.28800498948379e-07,0.00011425089907863,0.582072065334468,-2.86811812088952e-06,1.61051712299276e-06,non-significant,burned_area,TMC,Nitrogen Deposition,1.1425089907863e-06,Non-Significant
mat_coef,-2.11875301579685e-06,0.000153836963000972,0.168441136592418,-5.1339574906159e-06,8.96451459022193e-07,non-significant,burned_area,TMC,MAT Trend,1.53836963000972e-06,Non-Significant
max_temp_coef,1.04436056749299e-06,6.97738308897011e-05,0.134463772662551,-3.23206517945147e-07,2.41192765293114e-06,non-significant,burned_area,TMC,Max Temp Trend,6.97738308897011e-07,Non-Significant
map_coef,-5.68698447996356e-08,0.000191271116429879,0.976280573413641,-3.80578372682527e-06,3.692044037226e-06,non-significant,burned_area,TMC,MAP Trend,1.91271116429879e-06,Non-Significant
