term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),-0.000337296011902486,2.51471168466805e-05,5.18864716499554e-41,-0.00038658436092198,-0.000288007662882992,significant,,H1,
(Intercept),-0.000325949125791276,2.53017789916614e-05,5.75320269560269e-38,-0.000375540612614933,-0.00027635763896762,significant,,H2,
nitrogen_depo,8.36006799494865e-05,2.52474707594669e-05,0.000928887807056731,3.41156372609314e-05,0.000133085722638042,significant,,H2,
mat_coef,0.000188674727258165,3.28785068909811e-05,9.55653864886644e-09,0.000124232853751842,0.000253116600764488,significant,,H2,
max_temp_coef,1.89362292716321e-05,2.67667651333896e-05,0.479285413626432,-3.35266303898115e-05,7.13990889330757e-05,non-significant,,H2,
map_coef,0.000161996975065181,2.26744159976412e-05,9.04933606187022e-13,0.000117555119709804,0.000206438830420558,significant,,H2,
human_modification,-0.000109159294236869,2.08184138356648e-05,1.57725787038945e-07,-0.000149963385354772,-6.83552031189656e-05,significant,,H2,
super_biomecold_short,-0.000247680781813483,5.63826141855935e-05,1.11900126356503e-05,-0.000358190705617246,-0.000137170858009719,significant,,H3,
super_biomecold_tall,8.2103610462123e-05,4.91071697511211e-05,0.0945394948278081,-1.41464422500744e-05,0.00017835366317432,non-significant,,H3,
super_biomenot_cold_short,-0.000686790629195057,3.98966579230503e-05,2.19831481728497e-66,-0.000764988078724235,-0.000608593179665878,significant,,H3,
super_biomenot_cold_tall,-0.000468492276330448,4.46184140651588e-05,8.70941275980936e-26,-0.000555944367898159,-0.000381040184762737,significant,,H3,
protection_cat_broadMixed,-0.000540730965803224,5.17510099960225e-05,1.49707697661044e-25,-0.000642162945395428,-0.00043929898621102,significant,,H4,
protection_cat_broadStrict,-0.000219423112371182,8.46976110402229e-05,0.00957943509021388,-0.000385430430010018,-5.34157947323446e-05,significant,,H4,
protection_cat_broadUnprotected,-0.000317637047996872,2.63991801413568e-05,2.44332756576567e-33,-0.000369379441073931,-0.000265894654919812,significant,,H4,
protection_cat_broadMixed,0.00144913585981644,6.14764717047692e-05,9.07397738539641e-123,0.00132864197527509,0.00156962974435779,significant,,H4.1,
protection_cat_broadStrict,0.0016862568474689,9.27760660914501e-05,8.65086184470858e-74,0.00150441575792965,0.00186809793700814,significant,,H4.1,
protection_cat_broadUnprotected,0.00109313456660931,3.21227281259071e-05,1.90705403014723e-253,0.00103017401948253,0.00115609511373608,significant,,H4.1,
(Intercept),-0.000260209219726936,0.000154714582972916,0.0926245744280503,-0.00056344980235385,4.3031362899979e-05,non-significant,,H5,
area_km2_log,2.62524688285131e-05,0.000174423536414458,0.880365236459271,-0.000315617662543824,0.000368122600200851,non-significant,,H5,
pa_age_log,-0.00023460557617103,0.000137094017114634,0.0870599165517422,-0.000503309849715713,3.40986973736528e-05,non-significant,,H5,
(Intercept),0.00177683225454592,0.000147035636574622,2.12884424440965e-33,0.00148864240685966,0.00206502210223218,significant,,H5.1,
area_km2_log,9.51692382502856e-06,0.000163451809028502,0.953570798277928,-0.000310848621870834,0.000329882469520892,non-significant,,H5.1,
pa_age_log,0.000100716611699148,0.000128812060917531,0.434298019909014,-0.000151755027699213,0.000353188251097509,non-significant,,H5.1,
(Intercept),0.000136164045674552,6.35073833928373e-05,0.0320300417464183,1.16895742245907e-05,0.000260638517124513,significant,,cold_tall,
nitrogen_depo,2.93868561427217e-05,5.27005469991491e-05,0.57710547735251,-7.39062159756105e-05,0.000132679928261054,non-significant,,cold_tall,
mat_coef,-0.000142688211698479,9.13061949256215e-05,0.118116068245737,-0.000321648353752697,3.62719303557395e-05,non-significant,,cold_tall,
max_temp_coef,2.03919446160784e-05,5.52549483288755e-05,0.712089831575381,-8.79077541085175e-05,0.000128691643340674,non-significant,,cold_tall,
map_coef,0.000137471796653532,0.000124611995222759,0.269943598497181,-0.000106767713983076,0.000381711307290141,non-significant,,cold_tall,
human_modification,-0.000156881882360245,3.77618595768335e-05,3.26268993220544e-05,-0.000230895127130838,-8.28686375896513e-05,significant,,cold_tall,
(Intercept),-0.000135629304416076,4.48408327527338e-05,0.00248964253197829,-0.000223517336611434,-4.77412722207175e-05,significant,,cold_short,
nitrogen_depo,9.33578111773746e-05,4.22286929805084e-05,0.0270544726725096,1.05895729355782e-05,0.000176126049419171,significant,,cold_short,
mat_coef,-0.000308963138537854,6.0897839076733e-05,3.91410718654312e-07,-0.000428322903128251,-0.000189603373947458,significant,,cold_short,
max_temp_coef,0.000104443713535102,3.29434107660463e-05,0.00152281599493323,3.98746284336516e-05,0.000169012798636553,significant,,cold_short,
map_coef,6.0842484187761e-05,0.000115838664397349,0.599421355341684,-0.000166201298031044,0.000287886266406566,non-significant,,cold_short,
human_modification,-0.000222021641207802,3.68431032761735e-05,1.68575233814778e-09,-0.000294234123629102,-0.000149809158786502,significant,,cold_short,
(Intercept),-0.000574928100991167,6.67285039801203e-05,7.03775696489561e-18,-0.000705715968792203,-0.000444140233190131,significant,,not_cold_tall,
nitrogen_depo,4.25967013827288e-05,3.68706691496619e-05,0.247970201378778,-2.96698101506085e-05,0.000114863212916066,non-significant,,not_cold_tall,
mat_coef,-3.42007011031713e-05,5.35989589811739e-05,0.523419717464467,-0.000139254660706272,7.08532584999294e-05,non-significant,,not_cold_tall,
max_temp_coef,-8.63377742820403e-05,4.55700658452836e-05,0.0581462190815351,-0.000175655103338796,2.97955477471551e-06,non-significant,,not_cold_tall,
map_coef,0.000143623300394895,3.13064185393032e-05,4.48785580592421e-06,8.22627200578606e-05,0.000204983880731929,significant,,not_cold_tall,
human_modification,-6.38530423372019e-05,3.69718824865835e-05,0.0841581578962055,-0.000136317932010906,8.61184733650172e-06,non-significant,,not_cold_tall,
(Intercept),-0.000488046212811371,8.70049947628622e-05,2.03565808576052e-08,-0.00065857600254658,-0.000317516423076161,significant,,not_cold_short,
nitrogen_depo,2.0315264910227e-06,7.69988702890627e-05,0.978951230439097,-0.00014888625927554,0.000152949312257586,non-significant,,not_cold_short,
mat_coef,0.000904024346528222,0.000145908679830226,5.82093127097571e-10,0.000618043334060979,0.00119000535899546,significant,,not_cold_short,
max_temp_coef,-0.000184780051673811,9.6549608383079e-05,0.0556440895159554,-0.000374017284104646,4.45718075702358e-06,non-significant,,not_cold_short,
map_coef,0.000121224027416533,7.83784882874997e-05,0.121951062364189,-3.23978096269668e-05,0.000274845864460032,non-significant,,not_cold_short,
human_modification,2.84735602436219e-05,5.71871655077191e-05,0.618554767547555,-8.36132841515076e-05,0.000140560404638751,non-significant,,not_cold_short,
