term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),-1.60656379213782e-05,3.27625861631606e-05,0.623882544564691,-8.02803068011731e-05,4.81490309584167e-05,non-significant,,H1,
(Intercept),-1.35405118880697e-05,3.29969448885491e-05,0.681550308049661,-7.8214523869626e-05,5.11335000934867e-05,non-significant,,H2,
nitrogen_depo,-1.95904664312715e-05,3.09031649482047e-05,0.526135717580703,-8.01606697297528e-05,4.09797368672097e-05,non-significant,,H2,
mat_coef,9.04450646321496e-05,3.93186099335605e-05,0.0214442608173732,1.3380589162371e-05,0.000167509540101928,significant,,H2,
max_temp_coef,-2.14960590818251e-05,3.79439665775098e-05,0.571048072834334,-9.58662335737443e-05,5.2874115410094e-05,non-significant,,H2,
map_coef,5.22530311612053e-05,2.74099490877733e-05,0.0566236122508158,-1.47046905083043e-06,0.000105976531373241,non-significant,,H2,
human_modification,-6.15221813218541e-05,2.95997966768522e-05,0.0376834423019222,-0.000119537782808484,-3.50657983522377e-06,significant,,H2,
super_biomecold_short,-0.000120992604850446,9.56998607532867e-05,0.206144787128802,-0.000308564331926888,6.65791222259956e-05,non-significant,,H3,
super_biomecold_tall,0.00014367342974351,5.13241170303579e-05,0.00512734168188195,4.30781603640085e-05,0.000244268699123011,significant,,H3,
super_biomenot_cold_short,-0.000214492180251045,7.06292305797152e-05,0.00239455486652177,-0.000352925472187287,-7.60588883148034e-05,significant,,H3,
super_biomenot_cold_tall,-0.000103250421165324,5.51811569672026e-05,0.0613483057329127,-0.000211405488821041,4.90464649039319e-06,non-significant,,H3,
og_layercontrols,8.50577438145644e-06,3.63399730262151e-05,0.814940734467151,-6.27205727499251e-05,7.9732121512838e-05,non-significant,,H4,
og_layerprotected_areas,-4.38981452867053e-05,4.74336883855795e-05,0.354739781491156,-0.000136868174522441,4.90718839490306e-05,non-significant,,H4,
og_layercontrols,0.000697189471731094,3.50529124025945e-05,6.5910237287301e-87,0.000628485763422009,0.000765893180040179,significant,,H4.1,
og_layerprotected_areas,0.000576305223212269,4.57512573530556e-05,3.36718369574603e-36,0.000486632758800281,0.000665977687624258,significant,,H4.1,
(Intercept),-1.10736960850174e-05,4.09729295741579e-05,0.786961608151127,-9.13806380503669e-05,6.92332458803322e-05,non-significant,,H5,
area_km2_log,-0.000139407276650596,2.84436160718743e-05,9.74102699831114e-07,-0.000195156764151469,-8.36577891497221e-05,significant,,H5,
pa_age_log,-8.47878007582332e-06,3.3541101266629e-05,0.800439659114013,-7.42193385584162e-05,5.72617784067696e-05,non-significant,,H5,
(Intercept),0.000543095782012778,3.90112394287853e-05,1.77880457632183e-43,0.000466633752732359,0.000619557811293197,significant,,H5.1,
area_km2_log,0.000242350848153967,2.71227590025808e-05,5.11983414900933e-19,0.000189190240508908,0.000295511455799025,significant,,H5.1,
pa_age_log,5.0194276571079e-05,3.19713304419537e-05,0.116465582302526,-1.24695310951501e-05,0.000112858084237308,non-significant,,H5.1,
(Intercept),0.000165976097822311,7.1449882800908e-05,0.0202092994951337,2.59343275325313e-05,0.000306017868112091,significant,,cold_tall,
nitrogen_depo,-0.000132183535127611,6.32681986267146e-05,0.0367207838982184,-0.000256189204435971,-8.17786581925028e-06,significant,,cold_tall,
mat_coef,-8.22140777578902e-05,8.99868803497403e-05,0.360946635183982,-0.000258588363243381,9.41602077276007e-05,non-significant,,cold_tall,
max_temp_coef,4.09660847666158e-05,6.11650456834821e-05,0.503031083306944,-7.89174047730091e-05,0.000160849574306241,non-significant,,cold_tall,
map_coef,3.65510601197809e-06,9.65830975416045e-05,0.969813021086089,-0.000185647765169567,0.000192957977193523,non-significant,,cold_tall,
human_modification,-8.0523617195461e-05,4.25884503211461e-05,0.0587007451405634,-0.000163996979824907,2.94974543398543e-06,non-significant,,cold_tall,
(Intercept),-0.0127955803135694,0.106270101023228,0.904183642341427,-0.221084978319097,0.195493817691958,non-significant,,cold_short,
nitrogen_depo,-0.033191553557349,0.0871275530758573,0.703312199585515,-0.203961557586029,0.137578450471331,non-significant,,cold_short,
mat_coef,0.205920749672125,0.0715340550756953,0.00407225437601088,0.0657140017237619,0.346127497620487,significant,,cold_short,
max_temp_coef,-0.0285816958799344,0.0525877457020036,0.586893783194401,-0.131653677455861,0.0744902856959925,non-significant,,cold_short,
map_coef,-0.260602199886249,0.113571059779618,0.0219451021000622,-0.483201477054299,-0.0380029227181982,significant,,cold_short,
human_modification,-0.0504615671786172,0.0388361625031883,0.194101378161975,-0.126580445684866,0.0256573113276319,non-significant,,cold_short,
(Intercept),0.0328296068443605,0.0421359188719565,0.435942834813126,-0.0497567941446743,0.115416007833395,non-significant,,not_cold_tall,
