term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),-2.64829485005389e-05,2.90316693227278e-05,0.36167502402096,-8.33850203730854e-05,3.04191233720077e-05,non-significant,,H1,
(Intercept),-2.29434079927731e-05,2.95047717480246e-05,0.436808590187871,-8.07727606189012e-05,3.4885944633355e-05,non-significant,,H2,
nitrogen_depo,-1.3787161411522e-05,2.82770355676645e-05,0.625859206908691,-6.92101511241444e-05,4.16358283011004e-05,non-significant,,H2,
mat_coef,6.23133130544869e-05,3.78527035801366e-05,0.0997448982150342,-1.18779859625808e-05,0.000136504612071555,non-significant,,H2,
max_temp_coef,2.88215635068808e-06,3.59086575006121e-05,0.936028840720941,-6.74988123505117e-05,7.32631250518879e-05,non-significant,,H2,
map_coef,5.08061360701379e-05,2.50592346509387e-05,0.0426369376019527,1.69003615429814e-06,9.99222359859776e-05,significant,,H2,
human_modification,-8.24722831271143e-05,2.64252273795591e-05,0.00180639223559221,-0.00013426572879105,-3.06788374631785e-05,significant,,H2,
super_biomecold_short,-0.000114007949066013,8.49219889380497e-05,0.179455866639709,-0.000280455047384591,5.24391492525642e-05,non-significant,,H3,
super_biomecold_tall,0.000126261585747243,4.83836121118578e-05,0.00907499507516029,3.14297060080014e-05,0.000221093465486484,significant,,H3,
super_biomenot_cold_short,-0.000288916800452067,5.80447561351947e-05,6.52122994609395e-07,-0.000402684522477048,-0.000175149078427085,significant,,H3,
super_biomenot_cold_tall,-4.34835744425925e-05,4.74090502427487e-05,0.359054335603998,-0.00013640531291838,4.9438164033195e-05,non-significant,,H3,
protection_cat_broadcontrol,-1.97123321276895e-05,3.42892488423741e-05,0.565379503766446,-8.69192598587427e-05,4.74945956033638e-05,non-significant,,H4,
protection_cat_broadstrictly_protected,-3.32696355971953e-05,3.4951216529497e-05,0.341170955193998,-0.000101774019995009,3.52347488006187e-05,non-significant,,H4,
protection_cat_broadcontrol,0.000583233347569664,3.29911230099521e-05,3.69301404888364e-69,0.000518570746470158,0.00064789594866917,significant,,H4.1,
protection_cat_broadstrictly_protected,0.000577338604047953,3.36267491815294e-05,2.2387378324579e-65,0.000511430175652156,0.000643247032443751,significant,,H4.1,
(Intercept),-2.86687604226809e-05,3.6462255232554e-05,0.431747135657172,-0.000100134780678487,4.27972598331251e-05,non-significant,,H5,
