term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),6.06237812311213,0.958261787944268,2.51998830734475e-10,4.18418501874137,7.9405712274829,significant,mean_evi,zhu_n_depo,
n_depo_europe_coef,0.270131286115856,0.155503431137309,0.0823656171974,-0.0346554389132692,0.574918011144982,non-significant,mean_evi,zhu_n_depo,
mat_coef,-0.259298139562768,0.410647379756371,0.527756035806667,-1.06416700388526,0.54557072475972,non-significant,mean_evi,zhu_n_depo,
max_temp_coef,-0.465163330470418,0.255157714312207,0.0683000891378593,-0.965272450522344,0.0349457895815078,non-significant,mean_evi,zhu_n_depo,
map_coef,0.279750533604924,0.19323101720364,0.147689781836849,-0.098982260114211,0.658483327324058,non-significant,mean_evi,zhu_n_depo,
human_modification,0.801015504019399,0.126003428036952,2.06529759972939e-10,0.554048785066973,1.04798222297183,significant,mean_evi,zhu_n_depo,
(Intercept),-0.000323175509973395,4.20178742401453e-05,1.46936018859504e-14,-0.00040553054348408,-0.00024082047646271,significant,burned_area,zhu_n_depo,
n_depo_europe_coef,5.45807368610133e-06,2.9174628686368e-05,0.851596044172858,-5.172419853918e-05,6.26403459113827e-05,non-significant,burned_area,zhu_n_depo,
mat_coef,-0.000246799303405377,4.73249669742126e-05,1.84206937257288e-07,-0.000339556238674833,-0.00015404236813592,significant,burned_area,zhu_n_depo,
max_temp_coef,7.32385199482005e-07,4.20088267634402e-05,0.986090358618757,-8.16049152568609e-05,8.30696856558249e-05,non-significant,burned_area,zhu_n_depo,
map_coef,4.66598475880049e-05,3.2115177041642e-05,0.146257335092244,-1.62858994136135e-05,0.000109605594589623,non-significant,burned_area,zhu_n_depo,
human_modification,2.04730449715866e-05,2.79158132261604e-05,0.463325304787599,-3.42419489516878e-05,7.5188038894861e-05,non-significant,burned_area,zhu_n_depo,
(Intercept),-0.0952527768941068,0.059685815563565,0.110514276834521,-0.212236975398694,0.0217314216104805,non-significant,greenup,zhu_n_depo,
n_depo_europe_coef,-0.0136298542666637,0.0122099924933067,0.26430262340108,-0.0375614395535449,0.0103017310202174,non-significant,greenup,zhu_n_depo,
mat_coef,-0.000795051398604583,0.0244001544430783,0.97400651398177,-0.048619354107038,0.0470292513098288,non-significant,greenup,zhu_n_depo,
max_temp_coef,-0.0173441856996021,0.0149124968517827,0.244806981233619,-0.0465726795290963,0.011884308129892,non-significant,greenup,zhu_n_depo,
map_coef,0.0126445431288355,0.0132776267286077,0.34093775985823,-0.0133796052592355,0.0386686915169066,non-significant,greenup,zhu_n_depo,
human_modification,-0.00301170081443686,0.00862913398742719,0.727078627567448,-0.0199248034297942,0.0139014018009204,non-significant,greenup,zhu_n_depo,
