term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0354040489779349,1.46116059856364,0.0154073142112299,0.00676530124608753,0.0640427967097822,significant,mean_evi,SLN,Intercept,0.0146116059856364,Sig. Positive
n_depo_europe_coef,0.000901244646729526,0.0618482591374679,0.145091104335039,-0.000310981232364844,0.0021134705258239,non-significant,mean_evi,SLN,N Deposition Trend,0.000618482591374679,Non-Significant
nitrogen_depo,0.0149710520277998,0.416615341396104,0.000327583594760437,0.00680539133643614,0.0231367127191634,significant,mean_evi,SLN,N Deposition Mean,0.00416615341396104,Sig. Positive
mat_coef,0.00964361713961814,0.559322040586234,0.0847044898388186,-0.00131909485587206,0.0206063291351083,non-significant,mean_evi,SLN,MAT Trend,0.00559322040586234,Non-Significant
max_temp_coef,0.00151415869286545,0.413801123196439,0.714435283376814,-0.00659634332178474,0.00962466070751565,non-significant,mean_evi,SLN,Max Temp Trend,0.00413801123196439,Non-Significant
map_coef,0.00568549530017449,0.333880902458721,0.0886218996686752,-0.000858570388016443,0.0122295609883654,non-significant,mean_evi,SLN,MAP Trend,0.00333880902458721,Non-Significant
human_modification,0.00776088081275347,0.110552956293829,2.33778488821417e-12,0.00559404286939441,0.00992771875611252,significant,mean_evi,SLN,Human Modification,0.00110552956293829,Sig. Positive
(Intercept),0.0877560070495371,1.60011940176574,4.20623810642333e-08,0.0563936667749286,0.119118347324146,significant,mean_evi,TMC,Intercept,0.0160011940176574,Sig. Positive
n_depo_europe_coef,0.00326398479160551,0.2724468978649,0.230922715855129,-0.00207597440654654,0.00860394398975756,non-significant,mean_evi,TMC,N Deposition Trend,0.002724468978649,Non-Significant
nitrogen_depo,-0.00287548314508748,0.965897358882674,0.765935062871465,-0.0218070713791879,0.0160561050890129,non-significant,mean_evi,TMC,N Deposition Mean,0.00965897358882674,Non-Significant
mat_coef,0.000714051078605143,1.27295860214045,0.955267693977015,-0.0242359375233477,0.025664039680558,non-significant,mean_evi,TMC,MAT Trend,0.0127295860214045,Non-Significant
max_temp_coef,0.00673988432527576,0.635774821908301,0.289110853763666,-0.00572130218412695,0.0192010708346785,non-significant,mean_evi,TMC,Max Temp Trend,0.00635774821908301,Non-Significant
map_coef,0.00444620139331606,0.432355034759879,0.303790567138632,-0.00402795728797757,0.0129203600746097,non-significant,mean_evi,TMC,MAP Trend,0.00432355034759879,Non-Significant
human_modification,0.000448958548441966,0.171798971964297,0.793842698306165,-0.00291830130205826,0.00381621839894219,non-significant,mean_evi,TMC,Human Modification,0.00171798971964297,Non-Significant
(Intercept),0.0637468118172136,1.51096750154231,2.46031990281242e-05,0.0341318487869843,0.0933617748474428,significant,mean_evi,SLB,Intercept,0.0151096750154231,Sig. Positive
n_depo_europe_coef,-0.0025415447465912,0.207800298256758,0.221310677372642,-0.00661443059242365,0.00153134109924126,non-significant,mean_evi,SLB,N Deposition Trend,0.00207800298256758,Non-Significant
nitrogen_depo,0.00544014669981534,0.339705849524472,0.109290474824081,-0.0012180879508643,0.012098381350495,non-significant,mean_evi,SLB,N Deposition Mean,0.00339705849524472,Non-Significant
mat_coef,-0.00239666754020781,0.397608456403799,0.546664856520295,-0.0101897932857223,0.00539645820530664,non-significant,mean_evi,SLB,MAT Trend,0.00397608456403799,Non-Significant
max_temp_coef,-0.004766692442208,0.261741776501435,0.0685930953536352,-0.00989683126163612,0.000363446377220114,non-significant,mean_evi,SLB,Max Temp Trend,0.00261741776501435,Non-Significant
map_coef,0.00369161084238706,0.237642435205387,0.120328716188216,-0.000966180887638531,0.00834940257241264,non-significant,mean_evi,SLB,MAP Trend,0.00237642435205387,Non-Significant
human_modification,0.00869497851671371,0.1377419475573,2.77617925773551e-10,0.00599523634459063,0.0113947206888368,significant,mean_evi,SLB,Human Modification,0.001377419475573,Sig. Positive
