term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0364917097390247,1.32583879941707,0.00592586247937001,0.0105052692704501,0.0624781502075994,significant,mean_evi,SLN,Intercept,0.0132583879941707,Sig. Positive
mean_n_depo_europe,0.00259281769450714,0.106552918888461,0.0149739066445293,0.000504380484293293,0.00468125490472098,significant,mean_evi,SLN,N Deposition Mean,0.00106552918888461,Sig. Positive
mat_coef,0.00552274334337267,0.529052673112369,0.296556037574338,-0.00484668904962976,0.0158921757363751,non-significant,mean_evi,SLN,MAT Trend,0.00529052673112369,Non-Significant
max_temp_coef,-0.00081641739097069,0.396433905052828,0.836841007598343,-0.00858652193000612,0.00695368714806474,non-significant,mean_evi,SLN,Max Temp Trend,0.00396433905052828,Non-Significant
map_coef,0.00646618583661291,0.325823579184079,0.0472155279738056,8.0043684604959e-05,0.0128523279886209,significant,mean_evi,SLN,MAP Trend,0.00325823579184079,Sig. Positive
human_modification,0.00738333156680931,0.110858083541195,2.85498041288781e-11,0.00521051312940189,0.00955615000421673,significant,mean_evi,SLN,Human Modification,0.00110858083541195,Sig. Positive
(Intercept),0.091511067525377,1.56104933889057,4.64920705590404e-09,0.060914500483122,0.122107634567632,significant,mean_evi,TMC,Intercept,0.0156104933889057,Sig. Positive
mean_n_depo_europe,-0.00966643745863189,0.323315634857104,0.0027955383096999,-0.0160034239018311,-0.00332945101543265,significant,mean_evi,TMC,N Deposition Mean,0.00323315634857104,Sig. Negative
mat_coef,-0.000607136533188727,1.26117932101707,0.961604899803399,-0.0253262512251233,0.0241119781587459,non-significant,mean_evi,TMC,MAT Trend,0.0126117932101707,Non-Significant
max_temp_coef,0.00823058050314144,0.632689358780361,0.193313472467546,-0.00417013092895363,0.0206312919352365,non-significant,mean_evi,TMC,Max Temp Trend,0.00632689358780361,Non-Significant
map_coef,0.0045982538117508,0.429444293032795,0.28429845384878,-0.00381885433169197,0.0130153619551936,non-significant,mean_evi,TMC,MAP Trend,0.00429444293032795,Non-Significant
human_modification,0.00166422388803839,0.168932402793523,0.324567658701226,-0.00164685120671466,0.00497529898279143,non-significant,mean_evi,TMC,Human Modification,0.00168932402793523,Non-Significant
(Intercept),0.0631118589468248,1.51637975102884,3.16165578825227e-05,0.0333908158266595,0.0928329020669901,significant,mean_evi,SLB,Intercept,0.0151637975102884,Sig. Positive
mean_n_depo_europe,-0.000140964232844895,0.272108655509152,0.958684833297097,-0.00547429388082428,0.00519236541513449,non-significant,mean_evi,SLB,N Deposition Mean,0.00272108655509152,Non-Significant
mat_coef,-0.00263745871303909,0.399004045675776,0.508609642125541,-0.0104579380082843,0.00518302058220611,non-significant,mean_evi,SLB,MAT Trend,0.00399004045675776,Non-Significant
max_temp_coef,-0.0049651414286143,0.262517579211532,0.0585845911209604,-0.0101104859811603,0.000180203123931715,non-significant,mean_evi,SLB,Max Temp Trend,0.00262517579211532,Non-Significant
map_coef,0.00310918834816166,0.23676450222451,0.18912406637994,-0.00153139589543874,0.00774977259176206,non-significant,mean_evi,SLB,MAP Trend,0.0023676450222451,Non-Significant
human_modification,0.00897602132556664,0.136193217639021,4.4371080253356e-11,0.00630663425984182,0.0116454083912915,significant,mean_evi,SLB,Human Modification,0.00136193217639021,Sig. Positive
