term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
n_depo_syndromemean_high_trend_decrease,0.0629776924665911,1.09069606276412,7.77132963561461e-09,0.0416000496364143,0.0843553352967678,significant,mean_evi,SLN,n_depo_syndromemean_high_trend_decrease,0.0109069606276412,Sig. Positive
n_depo_syndromemean_high_trend_increase,0.0599962242540943,1.07690484356447,2.53997884345539e-08,0.0388888893202307,0.081103559187958,significant,mean_evi,SLN,n_depo_syndromemean_high_trend_increase,0.0107690484356447,Sig. Positive
n_depo_syndromemean_high_trend_stable,0.0547989575141025,1.09555781128845,5.69041400462962e-07,0.0333260244128489,0.0762718906153562,significant,mean_evi,SLN,n_depo_syndromemean_high_trend_stable,0.0109555781128845,Sig. Positive
n_depo_syndromemean_low_trend_decrease,0.0570529005298346,1.37502419846158,3.34007487063152e-05,0.0301024262399877,0.0840033748196816,significant,mean_evi,SLN,n_depo_syndromemean_low_trend_decrease,0.0137502419846158,Sig. Positive
n_depo_syndromemean_low_trend_increase,0.0422965623454844,1.07461329197529,8.29413692439973e-05,0.0212341418227688,0.0633589828682,significant,mean_evi,SLN,n_depo_syndromemean_low_trend_increase,0.0107461329197529,Sig. Positive
n_depo_syndromemean_low_trend_stable,0.0503101141201949,1.04521671273729,1.48730642775064e-06,0.029823866550544,0.0707963616898458,significant,mean_evi,SLN,n_depo_syndromemean_low_trend_stable,0.0104521671273729,Sig. Positive
n_depo_syndromemean_medium_trend_decrease,0.0591708411422885,1.05797189088364,2.24231497634523e-08,0.0384345920809691,0.0799070902036078,significant,mean_evi,SLN,n_depo_syndromemean_medium_trend_decrease,0.0105797189088364,Sig. Positive
n_depo_syndromemean_medium_trend_increase,0.0524465414405174,1.0440587203309,5.09124421376863e-07,0.0319829905220317,0.0729100923590032,significant,mean_evi,SLN,n_depo_syndromemean_medium_trend_increase,0.010440587203309,Sig. Positive
n_depo_syndromemean_medium_trend_stable,0.0559100453391281,1.03527310287318,6.66760969846048e-08,0.0356186925228139,0.0762013981554423,significant,mean_evi,SLN,n_depo_syndromemean_medium_trend_stable,0.0103527310287318,Sig. Positive
n_depo_syndromemean_high_trend_decrease,0.0631197794818845,1.07870808264334,4.89637890574678e-09,0.041977101062075,0.0842624579016939,significant,mean_evi,TMC,n_depo_syndromemean_high_trend_decrease,0.0107870808264334,Sig. Positive
n_depo_syndromemean_high_trend_increase,0.0598079184497518,1.05589260659083,1.48310030376215e-08,0.0391124233605716,0.080503413538932,significant,mean_evi,TMC,n_depo_syndromemean_high_trend_increase,0.0105589260659083,Sig. Positive
n_depo_syndromemean_high_trend_stable,0.056377115729271,1.07157283080254,1.43590740961892e-07,0.0353742882455413,0.0773799432130007,significant,mean_evi,TMC,n_depo_syndromemean_high_trend_stable,0.0107157283080254,Sig. Positive
n_depo_syndromemean_low_trend_decrease,0.0564753327502083,1.28492286342397,1.10824322454038e-05,0.0312908446270984,0.0816598208733181,significant,mean_evi,TMC,n_depo_syndromemean_low_trend_decrease,0.0128492286342397,Sig. Positive
n_depo_syndromemean_low_trend_increase,0.0429363798476942,1.05096613143025,4.40481892362376e-05,0.0223374436716612,0.0635353160237271,significant,mean_evi,TMC,n_depo_syndromemean_low_trend_increase,0.0105096613143025,Sig. Positive
n_depo_syndromemean_low_trend_stable,0.0507495949260532,1.0272463614644,7.81684333928968e-07,0.030615566241351,0.0708836236107555,significant,mean_evi,TMC,n_depo_syndromemean_low_trend_stable,0.010272463614644,Sig. Positive
n_depo_syndromemean_medium_trend_decrease,0.0587928494388122,1.04109899481622,1.63747520648427e-08,0.0383873091404143,0.0791983897372101,significant,mean_evi,TMC,n_depo_syndromemean_medium_trend_decrease,0.0104109899481622,Sig. Positive
n_depo_syndromemean_medium_trend_increase,0.0524312081789621,1.02418614952636,3.07508588954349e-07,0.0323571596482454,0.0725052567096787,significant,mean_evi,TMC,n_depo_syndromemean_medium_trend_increase,0.0102418614952636,Sig. Positive
n_depo_syndromemean_medium_trend_stable,0.0560618970376503,1.01112270786193,2.95867870034944e-08,0.0362438919635565,0.075879902111744,significant,mean_evi,TMC,n_depo_syndromemean_medium_trend_stable,0.0101112270786193,Sig. Positive
n_depo_syndromemean_high_trend_decrease,0.0631197794818845,1.07870808264334,4.89637890574678e-09,0.041977101062075,0.0842624579016939,significant,mean_evi,SLB,n_depo_syndromemean_high_trend_decrease,0.0107870808264334,Sig. Positive
n_depo_syndromemean_high_trend_increase,0.0598079184497518,1.05589260659083,1.48310030376215e-08,0.0391124233605716,0.080503413538932,significant,mean_evi,SLB,n_depo_syndromemean_high_trend_increase,0.0105589260659083,Sig. Positive
n_depo_syndromemean_high_trend_stable,0.056377115729271,1.07157283080254,1.43590740961892e-07,0.0353742882455413,0.0773799432130007,significant,mean_evi,SLB,n_depo_syndromemean_high_trend_stable,0.0107157283080254,Sig. Positive
n_depo_syndromemean_low_trend_decrease,0.0564753327502083,1.28492286342397,1.10824322454038e-05,0.0312908446270984,0.0816598208733181,significant,mean_evi,SLB,n_depo_syndromemean_low_trend_decrease,0.0128492286342397,Sig. Positive
n_depo_syndromemean_low_trend_increase,0.0429363798476942,1.05096613143025,4.40481892362376e-05,0.0223374436716612,0.0635353160237271,significant,mean_evi,SLB,n_depo_syndromemean_low_trend_increase,0.0105096613143025,Sig. Positive
n_depo_syndromemean_low_trend_stable,0.0507495949260532,1.0272463614644,7.81684333928968e-07,0.030615566241351,0.0708836236107555,significant,mean_evi,SLB,n_depo_syndromemean_low_trend_stable,0.010272463614644,Sig. Positive
n_depo_syndromemean_medium_trend_decrease,0.0587928494388122,1.04109899481622,1.63747520648427e-08,0.0383873091404143,0.0791983897372101,significant,mean_evi,SLB,n_depo_syndromemean_medium_trend_decrease,0.0104109899481622,Sig. Positive
n_depo_syndromemean_medium_trend_increase,0.0524312081789621,1.02418614952636,3.07508588954349e-07,0.0323571596482454,0.0725052567096787,significant,mean_evi,SLB,n_depo_syndromemean_medium_trend_increase,0.0102418614952636,Sig. Positive
n_depo_syndromemean_medium_trend_stable,0.0560618970376503,1.01112270786193,2.95867870034944e-08,0.0362438919635565,0.075879902111744,significant,mean_evi,SLB,n_depo_syndromemean_medium_trend_stable,0.0101112270786193,Sig. Positive
