term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0358511934631736,1.33373049223382,0.00719725509457302,0.00971007581539077,0.0619923111109564,significant,mean_evi,SLN,Intercept,0.0133373049223382,Sig. Positive
n_depo_europe_coef,0.000930757746261705,0.0550082568504927,0.090665769698364,-0.000147404088007951,0.00200891958053136,non-significant,mean_evi,SLN,N Deposition Trend,0.000550082568504927,Non-Significant
mat_coef,0.00509535265278698,0.530938421474296,0.337231632943109,-0.00531104040810923,0.0155017457136832,non-significant,mean_evi,SLN,MAT Trend,0.00530938421474297,Non-Significant
max_temp_coef,-0.000872036345612453,0.397753615818657,0.826466580921699,-0.00866800721565813,0.00692393452443322,non-significant,mean_evi,SLN,Max Temp Trend,0.00397753615818657,Non-Significant
map_coef,0.00624449955056539,0.325238892600602,0.0548850439016184,-0.00013018274440641,0.0126191818455372,non-significant,mean_evi,SLN,MAP Trend,0.00325238892600602,Non-Significant
human_modification,0.00766831059471106,0.111375941762881,6.06485651729847e-12,0.00548534213615859,0.00985127905326352,significant,mean_evi,SLN,Human Modification,0.00111375941762881,Sig. Positive
(Intercept),0.0867226602103095,1.55180713787112,2.32376647352582e-08,0.0563072403080355,0.117138080112584,significant,mean_evi,TMC,Intercept,0.0155180713787112,Sig. Positive
n_depo_europe_coef,0.00345614738178667,0.265711665074223,0.193373261824984,-0.0017518012536681,0.00866409601724144,non-significant,mean_evi,TMC,N Deposition Trend,0.00265711665074223,Non-Significant
mat_coef,0.0014295131991395,1.26555141596836,0.910066894241784,-0.0233752945538403,0.0262343209521193,non-significant,mean_evi,TMC,MAT Trend,0.0126555141596835,Non-Significant
max_temp_coef,0.00611002714966576,0.631904547844947,0.333595820278032,-0.00627530198809519,0.0184953562874267,non-significant,mean_evi,TMC,Max Temp Trend,0.00631904547844947,Non-Significant
map_coef,0.00438543095597501,0.431846865328878,0.309878368889403,-0.00407876760447101,0.012849629516421,non-significant,mean_evi,TMC,MAP Trend,0.00431846865328878,Non-Significant
human_modification,0.000341921436252641,0.173979879520948,0.844198129266839,-0.00306808420235794,0.00375192707486322,non-significant,mean_evi,TMC,Human Modification,0.00173979879520948,Non-Significant
(Intercept),0.0633396936763677,1.51636361372573,2.95946975732989e-05,0.0336189668473435,0.0930604205053919,significant,mean_evi,SLB,Intercept,0.0151636361372573,Sig. Positive
n_depo_europe_coef,-0.00162221044545873,0.212790504055237,0.445855379054266,-0.00579290432494137,0.00254848343402392,non-significant,mean_evi,SLB,N Deposition Trend,0.00212790504055237,Non-Significant
mat_coef,-0.00286067731741032,0.398685592752196,0.473053382921812,-0.0106749149353534,0.00495356030053273,non-significant,mean_evi,SLB,MAT Trend,0.00398685592752196,Non-Significant
max_temp_coef,-0.00491852953847153,0.261870300587235,0.0603573300218567,-0.0100511874299813,0.000214128353038273,non-significant,mean_evi,SLB,Max Temp Trend,0.00261870300587235,Non-Significant
map_coef,0.00335970930449971,0.238090015030329,0.15822084069325,-0.00130685499009474,0.00802627359909417,non-significant,mean_evi,SLB,MAP Trend,0.00238090015030329,Non-Significant
human_modification,0.00905847416692861,0.139905826205358,9.61801719972573e-11,0.00631631997330358,0.0118006283605536,significant,mean_evi,SLB,Human Modification,0.00139905826205358,Sig. Positive
