term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,super_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0411549936545814,1.54432970501892,0.00770725830165513,0.0108861314362106,0.0714238558729522,significant,mean_evi,not_cold_short,Intercept,0.0154432970501892,Sig. Positive
mean_n_depo_europe,0.00557761929787847,0.141406002763116,8.02806028531985e-05,0.0028060616437214,0.00834917695203555,significant,mean_evi,not_cold_short,N Deposition Mean,0.00141406002763116,Sig. Positive
mat_coef,0.00232304610270923,0.540641214260653,0.667430649663977,-0.00827352169679956,0.012919613902218,non-significant,mean_evi,not_cold_short,MAT Trend,0.00540641214260653,Non-Significant
max_temp_coef,-0.0033721312458171,0.33869102995835,0.319439228011458,-0.0100104754330008,0.00326621294136656,non-significant,mean_evi,not_cold_short,Max Temp Trend,0.0033869102995835,Non-Significant
map_coef,0.00344892692254301,0.253207188143337,0.173183134749057,-0.0015139339650664,0.00841178781015242,non-significant,mean_evi,not_cold_short,MAP Trend,0.00253207188143337,Non-Significant
human_modification,0.00634269841988971,0.101927515008301,4.9849481656525e-10,0.00434491912572701,0.00834047771405242,significant,mean_evi,not_cold_short,Human Modification,0.00101927515008301,Sig. Positive
(Intercept),0.0767197488751194,1.15803682723171,3.52894315419372e-11,0.0540222270613778,0.0994172706888609,significant,mean_evi,cold_tall,Intercept,0.0115803682723171,Sig. Positive
mean_n_depo_europe,-0.0016793817680345,0.245204744659047,0.493418652275798,-0.00648539476335182,0.00312663122728283,non-significant,mean_evi,cold_tall,N Deposition Mean,0.00245204744659047,Non-Significant
mat_coef,-0.00276943885957983,0.708339721738804,0.695817571727386,-0.0166528974056604,0.0111140196865007,non-significant,mean_evi,cold_tall,MAT Trend,0.00708339721738804,Non-Significant
max_temp_coef,0.00127271782721955,0.444729749879646,0.774743832032553,-0.00744398527042151,0.0099894209248606,non-significant,mean_evi,cold_tall,Max Temp Trend,0.00444729749879645,Non-Significant
map_coef,0.00604736615120756,0.320076411436967,0.0588540486815702,-0.000226131512956986,0.0123208638153721,non-significant,mean_evi,cold_tall,MAP Trend,0.00320076411436967,Non-Significant
human_modification,0.00191051431100527,0.142632939971416,0.180429949403059,-0.000885091312434478,0.00470611993444501,non-significant,mean_evi,cold_tall,Human Modification,0.00142632939971416,Non-Significant
(Intercept),0.0620603715172682,1.45540114735163,2.01127442596013e-05,0.0335345090291763,0.0905862340053601,significant,mean_evi,cold_short,Intercept,0.0145540114735163,Sig. Positive
mean_n_depo_europe,0.000234430112063068,0.264194909156693,0.929293931298765,-0.00494379010740812,0.00541265033153425,non-significant,mean_evi,cold_short,N Deposition Mean,0.00264194909156693,Non-Significant
mat_coef,-0.00114561560522459,0.403738928198809,0.776602215463331,-0.00905889859792124,0.00676766738747207,non-significant,mean_evi,cold_short,MAT Trend,0.00403738928198809,Non-Significant
max_temp_coef,-0.00595216134799373,0.260065058016559,0.0221007596736091,-0.0110494364851183,-0.000854886210869169,significant,mean_evi,cold_short,Max Temp Trend,0.00260065058016559,Sig. Negative
map_coef,0.00251727856238632,0.225319738619213,0.263914247977887,-0.00189898831455024,0.00693354543932289,non-significant,mean_evi,cold_short,MAP Trend,0.00225319738619213,Non-Significant
human_modification,0.00784182492791292,0.135075796777066,6.4653821965008e-09,0.00519433931108243,0.0104893105447434,significant,mean_evi,cold_short,Human Modification,0.00135075796777066,Sig. Positive
