term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,super_biome,clean_term,sdt_error,sig_pn
n_depo_syndromemean_high_trend_decrease,0.05849958364026,1.57308668057945,0.000200753559403646,0.0276670847009027,0.0893320825796172,significant,mean_evi,not_cold_short,n_depo_syndromemean_high_trend_decrease,0.0157308668057945,Sig. Positive
n_depo_syndromemean_high_trend_increase,0.0504225386049601,1.54807861562267,0.00112748330411563,0.0200801977387557,0.0807648794711645,significant,mean_evi,not_cold_short,n_depo_syndromemean_high_trend_increase,0.0154807861562267,Sig. Positive
n_depo_syndromemean_high_trend_stable,0.0494729292178826,1.60507861225101,0.00205713309827014,0.0180133884177629,0.0809324700180024,significant,mean_evi,not_cold_short,n_depo_syndromemean_high_trend_stable,0.0160507861225101,Sig. Positive
n_depo_syndromemean_low_trend_decrease,0.0332635211123754,1.86276740683275,0.0741627373453466,-0.00324672006154649,0.0697737622862973,non-significant,mean_evi,not_cold_short,n_depo_syndromemean_low_trend_decrease,0.0186276740683275,Non-Significant
n_depo_syndromemean_low_trend_increase,0.0316238365698714,1.55700465281175,0.0422616196161526,0.00110654537476104,0.0621411277649817,significant,mean_evi,not_cold_short,n_depo_syndromemean_low_trend_increase,0.0155700465281175,Sig. Positive
n_depo_syndromemean_low_trend_stable,0.0299939478551475,1.54478671406632,0.052197110803901,-0.000283871740552266,0.0602717674508473,non-significant,mean_evi,not_cold_short,n_depo_syndromemean_low_trend_stable,0.0154478671406632,Non-Significant
n_depo_syndromemean_medium_trend_decrease,0.0415171562532543,1.57912482134311,0.0085672544998336,0.0105663097549293,0.0724680027515793,significant,mean_evi,not_cold_short,n_depo_syndromemean_medium_trend_decrease,0.0157912482134311,Sig. Positive
n_depo_syndromemean_medium_trend_increase,0.041082529925082,1.53876479941024,0.00759510373987787,0.0109227398566413,0.0712423199935226,significant,mean_evi,not_cold_short,n_depo_syndromemean_medium_trend_increase,0.0153876479941024,Sig. Positive
n_depo_syndromemean_medium_trend_stable,0.0343674478477759,1.53961496092785,0.0256124213821612,0.0041909946135901,0.0645439010819617,significant,mean_evi,not_cold_short,n_depo_syndromemean_medium_trend_stable,0.0153961496092785,Sig. Positive
n_depo_syndromemean_high_trend_decrease,0.083669913678925,1.18252653976587,1.52012764593346e-12,0.0604923934995139,0.106847433858336,significant,mean_evi,cold_tall,n_depo_syndromemean_high_trend_decrease,0.0118252653976587,Sig. Positive
n_depo_syndromemean_high_trend_increase,0.0700443262714883,1.32976719421355,1.39272654687791e-07,0.0439808892649028,0.0961077632780738,significant,mean_evi,cold_tall,n_depo_syndromemean_high_trend_increase,0.0132976719421355,Sig. Positive
n_depo_syndromemean_high_trend_stable,0.07014602123232,1.27484915183751,3.77798894122915e-08,0.0451589778563049,0.0951330646083352,significant,mean_evi,cold_tall,n_depo_syndromemean_high_trend_stable,0.0127484915183751,Sig. Positive
n_depo_syndromemean_low_trend_decrease,0.0859626419209014,1.44909122681434,3.02079803217029e-09,0.0575604538753403,0.114364829966463,significant,mean_evi,cold_tall,n_depo_syndromemean_low_trend_decrease,0.0144909122681434,Sig. Positive
n_depo_syndromemean_low_trend_increase,0.0733710138240635,1.6748690808131,1.18681528520235e-05,0.0405435798401268,0.106198447808,significant,mean_evi,cold_tall,n_depo_syndromemean_low_trend_increase,0.016748690808131,Sig. Positive
n_depo_syndromemean_low_trend_stable,0.0843423841933302,1.39937403822316,1.68736865642111e-09,0.0569146530441562,0.111770115342504,significant,mean_evi,cold_tall,n_depo_syndromemean_low_trend_stable,0.0139937403822316,Sig. Positive
n_depo_syndromemean_medium_trend_decrease,0.0846929880699112,1.21436858892569,3.13622543689749e-12,0.0608913637269676,0.108494612412855,significant,mean_evi,cold_tall,n_depo_syndromemean_medium_trend_decrease,0.0121436858892569,Sig. Positive
n_depo_syndromemean_medium_trend_increase,0.0510812360147651,1.3883444629149,0.000234274641235792,0.0238696845416332,0.0782927874878971,significant,mean_evi,cold_tall,n_depo_syndromemean_medium_trend_increase,0.013883444629149,Sig. Positive
n_depo_syndromemean_medium_trend_stable,0.0817459294564355,1.24201619806984,4.7239397653999e-11,0.0574024119742667,0.106089446938604,significant,mean_evi,cold_tall,n_depo_syndromemean_medium_trend_stable,0.0124201619806984,Sig. Positive
n_depo_syndromemean_high_trend_decrease,0.0561518665176721,1.53644224744205,0.000257841724659795,0.026037598467808,0.0862661345675362,significant,mean_evi,cold_short,n_depo_syndromemean_high_trend_decrease,0.0153644224744205,Sig. Positive
