term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,super_biome,clean_term,sdt_error,sig_pn
(Intercept),0.042447381408884,1.55856638550555,0.00646540794840482,0.0118994802529752,0.0729952825647928,significant,mean_evi,not_cold_short,Intercept,0.0155856638550555,Sig. Positive
n_depo_europe_coef,0.000863739919936797,0.0787958430479896,0.273016009666672,-0.000680658603803799,0.00240813844367739,non-significant,mean_evi,not_cold_short,N Deposition Trend,0.000787958430479896,Non-Significant
mat_coef,0.00123278731738169,0.54373927295107,0.820640764229325,-0.00942450243245929,0.0118900770672227,non-significant,mean_evi,not_cold_short,MAT Trend,0.0054373927295107,Non-Significant
max_temp_coef,-0.00329250405618902,0.340684365954926,0.333836952829596,-0.00996991762890558,0.00338490951652753,non-significant,mean_evi,not_cold_short,Max Temp Trend,0.00340684365954926,Non-Significant
map_coef,0.00337325924855698,0.254655549135967,0.185307462883615,-0.00161798951450797,0.00836450801162193,non-significant,mean_evi,not_cold_short,MAP Trend,0.00254655549135967,Non-Significant
human_modification,0.00727767932273632,0.103054708192824,1.6971716849858e-12,0.00525780704215697,0.00929755160331567,significant,mean_evi,not_cold_short,Human Modification,0.00103054708192824,Sig. Positive
(Intercept),0.0767322135198404,1.14651605211425,2.22860693951029e-11,0.054260498898401,0.0992039281412797,significant,mean_evi,cold_tall,Intercept,0.0114651605211425,Sig. Positive
n_depo_europe_coef,0.0034492498742771,0.209650801099785,0.0999312200812385,-0.000659905827278681,0.00755840557583287,non-significant,mean_evi,cold_tall,N Deposition Trend,0.00209650801099785,Non-Significant
mat_coef,-0.00208920531333683,0.706853944750108,0.767565076229396,-0.0159435426304389,0.0117651320037653,non-significant,mean_evi,cold_tall,MAT Trend,0.00706853944750108,Non-Significant
max_temp_coef,0.00257762311186528,0.457694245977072,0.573319219649433,-0.00639318410928533,0.0115484303330159,non-significant,mean_evi,cold_tall,Max Temp Trend,0.00457694245977072,Non-Significant
map_coef,0.00618980966051697,0.31916915512085,0.0524675803717799,-6.59057798516893e-05,0.0124455251008856,non-significant,mean_evi,cold_tall,MAP Trend,0.0031916915512085,Non-Significant
human_modification,0.00175708716421713,0.145233921030888,0.22635228552467,-0.00108949768798826,0.00460367201642253,non-significant,mean_evi,cold_tall,Human Modification,0.00145233921030888,Non-Significant
(Intercept),0.0621926110573957,1.4564328287273,1.95742608858029e-05,0.0336465276143407,0.0907386945004507,significant,mean_evi,cold_short,Intercept,0.014564328287273,Sig. Positive
n_depo_europe_coef,-0.000301933732199283,0.216941286584407,0.88931048271909,-0.00455398294925367,0.0039501154848551,non-significant,mean_evi,cold_short,N Deposition Trend,0.00216941286584407,Non-Significant
mat_coef,-0.00121365266213316,0.40388482026156,0.763801351509775,-0.00912979513925974,0.00670248981499343,non-significant,mean_evi,cold_short,MAT Trend,0.0040388482026156,Non-Significant
max_temp_coef,-0.00589771277188239,0.259036366363002,0.0228040091147799,-0.0109748255525972,-0.000820599991167542,significant,mean_evi,cold_short,Max Temp Trend,0.00259036366363002,Sig. Negative
map_coef,0.0025148164239478,0.225818629245465,0.265438419973002,-0.00191122870926332,0.00694086155715891,non-significant,mean_evi,cold_short,MAP Trend,0.00225818629245465,Non-Significant
human_modification,0.00785881611489809,0.138728346262001,1.48112937941166e-08,0.00513974052816288,0.0105778917016333,significant,mean_evi,cold_short,Human Modification,0.00138728346262001,Sig. Positive
