term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),5.33738589035786,0.523038239725115,1.91834260297456e-24,4.31223094049664,6.36254084021909,significant,,H1,
(Intercept),4.58385811448533,0.501732505823622,6.53661445645896e-20,3.60046240307103,5.56725382589963,significant,,H2,
nitrogen_depo,2.90150117476474,0.271753654904002,1.32720913314577e-26,2.3688640111529,3.43413833837659,significant,,H2,
mat_coef,0.872045024495436,0.461368224000951,0.0587423221418401,-0.0322366945464283,1.7763267435373,non-significant,,H2,
max_temp_coef,-0.495428897352061,0.311642376416099,0.111896102101838,-1.10624795512761,0.115390160423493,non-significant,,H2,
map_coef,-0.0699864967715593,0.259531684965811,0.787418616619128,-0.578668599304549,0.43869560576143,non-significant,,H2,
human_modification,-0.0569353912760973,0.174358559943675,0.744014676368447,-0.398678168765701,0.284807386213507,non-significant,,H2,
super_biomecold_short,4.50452222388752,0.97676411223114,3.99683721097283e-06,2.59006456391449,6.41897988386056,significant,,H3,
super_biomecold_tall,6.40005551894317,0.883576929557126,4.39349674396499e-13,4.6682447370112,8.13186630087514,significant,,H3,
super_biomenot_cold_short,4.49671957480964,0.609156852315433,1.56694152590371e-13,3.30277214427139,5.69066700534789,significant,,H3,
super_biomenot_cold_tall,6.11973375606035,0.597983174335831,1.4171265929246e-24,4.94768673436213,7.29178077775858,significant,,H3,
protection_cat_broadMixed,4.85829419646993,0.590233604913287,1.86571322697972e-16,3.70143633083989,6.01515206209998,significant,,H4,
protection_cat_broadStrict,5.53643971790946,0.621302239002167,5.09841292104902e-19,4.31868732946521,6.75419210635371,significant,,H4,
protection_cat_broadUnprotected,5.43862651178924,0.526444830276316,5.18683144382063e-25,4.40679464444766,6.47045837913082,significant,,H4,
protection_cat_broadMixed,9.42336832049728,0.449673906436386,2.12028422326121e-97,8.54200746388197,10.3047291771126,significant,,H4.1,
protection_cat_broadStrict,9.62945460930595,0.47287107621821,4.37148998083307e-92,8.70262729991825,10.5562819186936,significant,,H4.1,
protection_cat_broadUnprotected,10.3513647406924,0.401924478850896,5.05087169700392e-146,9.56359276214462,11.1391367192401,significant,,H4.1,
(Intercept),4.74729152019281,0.848349749617264,2.21719108813508e-08,3.08452601094297,6.41005702944264,significant,,H5,
area_km2_log,-0.299964895617154,0.543734100529432,0.581175395801896,-1.36568373265484,0.765753941420533,non-significant,,H5,
pa_age_log,0.334696464258981,0.324748886294017,0.302723399651893,-0.301811352877292,0.971204281395255,non-significant,,H5,
(Intercept),9.45790986946166,0.618563492932313,1.52375426772794e-52,8.24552542331433,10.670294315609,significant,,H5.1,
area_km2_log,-0.490715819099315,0.405456845804693,0.226183168350736,-1.28541123687651,0.303979598677884,non-significant,,H5.1,
pa_age_log,0.194177623987512,0.242273932541661,0.422861504921309,-0.280679283794144,0.669034531769169,non-significant,,H5.1,
(Intercept),5.26203978194508,1.35021207780446,9.75060092975903e-05,2.61562410944833,7.90845545444183,significant,,cold_tall,
nitrogen_depo,2.4055861370568,1.01719234048567,0.0180393719411294,0.411889149704897,4.39928312440871,significant,,cold_tall,
mat_coef,0.664825619303202,1.41274360536125,0.637935353251037,-2.10415184720485,3.43380308581125,non-significant,,cold_tall,
max_temp_coef,-0.725210637680483,0.66790355888597,0.277574812716653,-2.03430161309698,0.583880337736019,non-significant,,cold_tall,
map_coef,0.556943807070931,1.46992957805702,0.704770890132941,-2.32411816592083,3.43800578006269,non-significant,,cold_tall,
human_modification,-0.546412116266796,0.212247780219546,0.0100455479211228,-0.962417765497107,-0.130406467036485,significant,,cold_tall,
(Intercept),4.10380474296954,1.42137280105149,0.00388999760845528,1.31791405290863,6.88969543303045,significant,,cold_short,
nitrogen_depo,2.67674139578885,1.72375729587495,0.120470749565208,-0.701822904126054,6.05530569570376,non-significant,,cold_short,
mat_coef,2.20487244699892,1.14633018934408,0.0544386975961878,-0.0419347241154755,4.45167961811331,non-significant,,cold_short,
max_temp_coef,-0.421365604578613,0.515921449012574,0.414093634067848,-1.43257164464326,0.589840435486033,non-significant,,cold_short,
map_coef,1.05988206528363,1.43028489591035,0.458682924219786,-1.74347633070065,3.86324046126791,non-significant,,cold_short,
human_modification,-0.384534461704586,0.311396127214131,0.216889438464961,-0.994870871044283,0.225801947635111,non-significant,,cold_short,
(Intercept),4.369443007365,0.524259955119983,7.93440885451248e-17,3.34189349532984,5.39699251940017,significant,,not_cold_tall,
nitrogen_depo,2.87838821460182,0.257260144253392,4.93115655823541e-29,2.37415833186517,3.38261809733847,significant,,not_cold_tall,
mat_coef,-0.103591987728636,0.496434518014049,0.834704954563271,-1.07660364303617,0.8694196675789,non-significant,,not_cold_tall,
max_temp_coef,-0.107757630561038,0.423201163969789,0.799013500337943,-0.937231911941825,0.721716650819748,non-significant,,not_cold_tall,
map_coef,-0.08034190746155,0.238104219236173,0.735798936757252,-0.547026177164449,0.386342362241349,non-significant,,not_cold_tall,
human_modification,0.324772769069652,0.214105174254603,0.129300825145341,-0.0948733724693704,0.744418910608675,non-significant,,not_cold_tall,
(Intercept),5.00570885624746,0.799760350079245,3.8965438612328e-10,3.43817857009214,6.57323914240278,significant,,not_cold_short,
