term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),5.4263736512229,0.497489996521231,1.07114417944323e-27,4.45129325804128,6.40145404440451,significant,mean_evi,zhu_n_depo,
mean_n_depo_zhu,2.43769788265727,0.24380652380573,1.55747035031095e-23,1.95983709599804,2.9155586693165,significant,mean_evi,zhu_n_depo,
mat_coef,0.323186003611114,0.42915806609298,0.451408390895119,-0.517963805931127,1.16433581315336,non-significant,mean_evi,zhu_n_depo,
max_temp_coef,-0.27525560038001,0.241867638275587,0.25510352363542,-0.749316171400161,0.19880497064014,non-significant,mean_evi,zhu_n_depo,
map_coef,-0.0118680455740727,0.249547981041984,0.962068393268493,-0.500982088416361,0.477245997268216,non-significant,mean_evi,zhu_n_depo,
human_modification,0.0546219660631656,0.165647687309094,0.741590684180416,-0.270047501062659,0.37929143318899,non-significant,mean_evi,zhu_n_depo,
(Intercept),-0.000325632512059297,2.74927656082703e-05,2.33337278560585e-32,-0.000379518332651507,-0.000271746691467087,significant,burned_area,zhu_n_depo,
mean_n_depo_zhu,-5.992066646227e-05,3.14698873340506e-05,0.0569026470638262,-0.000121601645637009,1.76031271246922e-06,non-significant,burned_area,zhu_n_depo,
mat_coef,0.000151016152521344,3.61489701044727e-05,2.94658151320989e-05,8.01641711165779e-05,0.000221868133926111,significant,burned_area,zhu_n_depo,
max_temp_coef,1.51473262292477e-05,2.85159550694114e-05,0.595288981562434,-4.07439457067986e-05,7.10385981652941e-05,non-significant,burned_area,zhu_n_depo,
map_coef,0.000154343785181164,2.7265142750342e-05,1.5073467256631e-08,0.000100904105390494,0.000207783464971834,significant,burned_area,zhu_n_depo,
human_modification,-3.54862186847642e-05,2.50481977854574e-05,0.156566363171271,-8.45806863442607e-05,1.36082489747322e-05,non-significant,burned_area,zhu_n_depo,
(Intercept),0.0187864223273254,0.0410269273409075,0.647021170467707,-0.0616263552608533,0.0991991999155041,non-significant,greenup,zhu_n_depo,
mean_n_depo_zhu,-0.00398398823706403,0.0202827344558713,0.844279478429223,-0.0437381477705718,0.0357701712964437,non-significant,greenup,zhu_n_depo,
mat_coef,-0.0329665237555829,0.0354105363750652,0.351864146982059,-0.102371175050711,0.036438127539545,non-significant,greenup,zhu_n_depo,
max_temp_coef,-0.00216725653135485,0.0187548947898135,0.908003822382194,-0.0389268503193892,0.0345923372566795,non-significant,greenup,zhu_n_depo,
map_coef,-0.036138392318228,0.0200991846906774,0.0721773096074435,-0.0755327943119557,0.00325600967549965,non-significant,greenup,zhu_n_depo,
human_modification,-0.0363967268712206,0.0134949416577825,0.00699566963306406,-0.0628468125204744,-0.00994664122196682,significant,greenup,zhu_n_depo,
