term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.00178767758763834,0.0426084448060614,2.72569417306213e-05,0.00095255206943954,0.00262280310583715,significant,greenup,SLN,Intercept,0.000426084448060614,Sig. Positive
nitrogen_depo,0.00223244623947142,0.0653888906385621,0.000640362735391966,0.000950823982955599,0.00351406849598723,significant,greenup,SLN,Nitrogen Deposition,0.000653888906385621,Sig. Positive
mat_coef,0.000690655282647635,0.0500253101439147,0.167403816959077,-0.000289840796173093,0.00167115136146836,non-significant,greenup,SLN,MAT Trend,0.000500253101439147,Non-Significant
max_temp_coef,-0.000379317954496893,0.0238557975944388,0.111830190899326,-0.000846891587347893,8.82556783541067e-05,non-significant,greenup,SLN,Max Temp Trend,0.000238557975944388,Non-Significant
map_coef,-0.000605652435135973,0.0205469009144994,0.00320320917218498,-0.00100837169306016,-0.000202933177211786,significant,greenup,SLN,MAP Trend,0.000205469009144994,Sig. Negative
human_modification,-9.94779988580735e-05,0.0172665454683802,0.564528617161995,-0.000437902290038326,0.000238946292322179,non-significant,greenup,SLN,Human Modification,0.000172665454683802,Non-Significant
(Intercept),-0.000918619712165163,0.110696757085471,0.406630513269513,-0.0030882761510404,0.00125103672671007,non-significant,greenup,TMC,Intercept,0.00110696757085471,Non-Significant
nitrogen_depo,-0.000523951146903486,0.0704978025505866,0.457358046651243,-0.00190570807689498,0.000857805783088011,non-significant,greenup,TMC,Nitrogen Deposition,0.000704978025505866,Non-Significant
mat_coef,-0.000562346579618989,0.081328424217418,0.489288582977237,-0.00215638369428038,0.0010316905350424,non-significant,greenup,TMC,MAT Trend,0.00081328424217418,Non-Significant
max_temp_coef,0.000497443936087988,0.0260396743952668,0.0561025713985304,-1.29336820592408e-05,0.00100782155423522,non-significant,greenup,TMC,Max Temp Trend,0.000260396743952667,Non-Significant
