term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),0.0316519573060962,0.088456941932322,0.720476138634774,-0.141723648881255,0.205027563493447,non-significant,,H1,
(Intercept),0.0497207462082846,0.0892451858185958,0.577442863752323,-0.125199817996163,0.224641310412732,non-significant,,H2,
nitrogen_depo,-0.0670987723629776,0.0300608253124945,0.0256101229471182,-0.126017989975467,-0.00817955475048836,significant,,H2,
mat_coef,0.0423565151626352,0.0487206643723217,0.384643873656479,-0.0531359870071154,0.137849017332386,non-significant,,H2,
max_temp_coef,-0.00454611605835348,0.0202721506749766,0.822559837707281,-0.0442795313813076,0.0351872992646006,non-significant,,H2,
map_coef,-0.0640815025753754,0.0358596141747395,0.0739382518633774,-0.134366346357865,0.00620334120711398,non-significant,,H2,
human_modification,-0.00785640273082184,0.0135440986161465,0.561874568506004,-0.034402836018469,0.0186900305568254,non-significant,,H2,
super_biomecold_short,0.143394999051319,0.105105205407985,0.17247573476473,-0.062611203548332,0.349401201650971,non-significant,,H3,
super_biomecold_tall,0.0706334594601658,0.106478826347649,0.507103261565032,-0.138065040181225,0.279331959101557,non-significant,,H3,
super_biomenot_cold_short,-0.0345867722217328,0.102753950120667,0.736420546347622,-0.23598451445824,0.166810970014775,non-significant,,H3,
super_biomenot_cold_tall,-0.0990033506369034,0.106084209392546,0.350691441900696,-0.306928401046294,0.108921699772488,non-significant,,H3,
protection_cat_broadMixed,0.053885072054991,0.107942641940445,0.617638691338552,-0.157682506148281,0.265452650258263,non-significant,,H4,
protection_cat_broadStrict,0.0397651296643296,0.0893330675469254,0.656224147478338,-0.135327682727644,0.214857942056303,non-significant,,H4,
protection_cat_broadUnprotected,0.0261526853222798,0.0883520580064166,0.767226460054954,-0.147017348370297,0.199322719014856,non-significant,,H4,
protection_cat_broadMixed,0.641206780332225,0.094066698666419,9.37004862622699e-12,0.456836050946044,0.825577509718406,significant,,H4.1,
protection_cat_broadStrict,0.562801528237858,0.077956259464316,5.24939371345566e-13,0.410007259687798,0.715595796787917,significant,,H4.1,
protection_cat_broadUnprotected,0.615278887112919,0.0768350213552292,1.17785395902448e-15,0.46468224525667,0.765875528969168,significant,,H4.1,
(Intercept),0.043107750205786,0.0860587155106849,0.616438621250782,-0.125567332195156,0.211782832606728,non-significant,,H5,
area_km2_log,0.067897645942444,0.0201664442114857,0.000761533374930511,0.028371415287932,0.107423876596956,significant,,H5,
pa_age_log,-0.016909098778497,0.0168601663733223,0.315918599268935,-0.0499550248702087,0.0161368273132146,non-significant,,H5,
(Intercept),0.539735955348488,0.0725760621693225,1.06744063745353e-13,0.397486873496616,0.68198503720036,significant,,H5.1,
area_km2_log,0.0210104345367126,0.0174161849405558,0.227685708919906,-0.0131252879467768,0.0551461570202021,non-significant,,H5.1,
pa_age_log,0.0117428828978654,0.014483433104203,0.417500229475712,-0.0166446459863726,0.0401304117821033,non-significant,,H5.1,
(Intercept),0.0843733804335419,0.138130478403526,0.541318982375203,-0.186362357237368,0.355109118104452,non-significant,,cold_tall,
nitrogen_depo,-0.120331038629347,0.0448669146768523,0.00732169877582791,-0.208270191395978,-0.0323918858627166,significant,,cold_tall,
mat_coef,-0.117664954353492,0.0596616937876962,0.048591882302294,-0.234601874177377,-0.000728034529607957,significant,,cold_tall,
max_temp_coef,0.0379351825867246,0.0293452895426291,0.196114502588891,-0.0195815849168283,0.0954519500902776,non-significant,,cold_tall,
map_coef,-0.0170798404266424,0.0686803077029777,0.803604577626639,-0.151693243524479,0.117533562671194,non-significant,,cold_tall,
human_modification,-0.0024601317869076,0.0104823358840404,0.814447897574496,-0.0230055101196267,0.0180852465458115,non-significant,,cold_tall,
(Intercept),0.17080739257732,0.0702630776764033,0.0150623772825825,0.0330917603315691,0.30852302482307,significant,,cold_short,
nitrogen_depo,-0.0216890940365047,0.044909636256641,0.629133829800488,-0.109711981099521,0.0663337930265117,non-significant,,cold_short,
mat_coef,0.113295942486758,0.0512115562620254,0.0269501308180884,0.0129212922131877,0.213670592760327,significant,,cold_short,
