term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),-0.0509825346419784,0.102444124795786,0.618732809856261,-0.25177301924172,0.149807949957763,non-significant,,H1,
(Intercept),-0.0476411604934608,0.103811974299867,0.646302743267735,-0.251112630121201,0.155830309134279,non-significant,,H2,
nitrogen_depo,-0.0686448963019543,0.0481217950668502,0.153758959498534,-0.162963614632981,0.0256738220290722,non-significant,,H2,
mat_coef,-0.0315887671080062,0.0516149176490825,0.540545445399643,-0.132754005700208,0.0695764714841954,non-significant,,H2,
max_temp_coef,0.02085635684826,0.032623262399604,0.522635696922535,-0.0430852374549639,0.0847979511514839,non-significant,,H2,
map_coef,-0.00932101743294935,0.0433352650497032,0.829700707031399,-0.0942581369303675,0.0756161020644688,non-significant,,H2,
human_modification,-0.02278457439696,0.0134341590011797,0.0899122297548511,-0.0491155260392722,0.00354637724535225,non-significant,,H2,
super_biomecold_short,0.0138263216556148,0.127682997675446,0.913770648878454,-0.236432353788259,0.264084997099488,non-significant,,H3,
super_biomecold_tall,-0.0150777915184999,0.12763289854652,0.905963706700784,-0.265238272669679,0.235082689632679,non-significant,,H3,
super_biomenot_cold_short,-0.0280351798292171,0.124096036629545,0.821271788370367,-0.271263411623126,0.215193051964692,non-significant,,H3,
super_biomenot_cold_tall,-0.174013300251684,0.12173429050023,0.152904230393136,-0.412612509632133,0.0645859091287664,non-significant,,H3,
og_layercontrols,-0.0766381862175454,0.102764314966706,0.455825169475219,-0.278056243552288,0.124779871117198,non-significant,,H4,
og_layerprotected_areas,-0.015548120726341,0.102969936598316,0.87998122086616,-0.21736919645904,0.186272955006358,non-significant,,H4,
og_layercontrols,0.645304671892861,0.0831901337533729,9.50453263787803e-15,0.48225200973625,0.808357334049472,significant,,H4.1,
og_layerprotected_areas,0.589943680498444,0.0833738053258294,1.5797684376814e-12,0.426531022059818,0.75335633893707,significant,,H4.1,
(Intercept),-0.0341241859832761,0.102468544263981,0.739132356263252,-0.234962532740679,0.166714160774126,non-significant,,H5,
area_km2_log,0.0218239194292086,0.0151512576899143,0.149816108059116,-0.00787254564302342,0.0515203845014407,non-significant,,H5,
pa_age_log,-0.0142388607891167,0.0130949330571902,0.276931798726981,-0.0399049295812095,0.0114272080029761,non-significant,,H5,
(Intercept),0.618422169936829,0.0879542971477917,2.32423902879693e-12,0.446031747527158,0.790812592346501,significant,,H5.1,
area_km2_log,-0.103452018832847,0.0121887525041662,2.75096691432669e-17,-0.127341973741013,-0.0795620639246817,significant,,H5.1,
pa_age_log,0.0151364258960766,0.0104948670923352,0.149289142436221,-0.00543351360490035,0.0357063653970536,non-significant,,H5.1,
(Intercept),-0.0187065841645252,0.152916292573326,0.902639472953132,-0.318422517608244,0.281009349279194,non-significant,,cold_tall,
nitrogen_depo,-0.0475791974441204,0.0591425074353389,0.421144998530882,-0.163498512017385,0.0683401171291439,non-significant,,cold_tall,
mat_coef,-0.0481689133760656,0.0652300454302013,0.460267911239884,-0.17601980241926,0.0796819756671291,non-significant,,cold_tall,
max_temp_coef,0.0295238551534223,0.0361958324142242,0.414716785686167,-0.0414199763784571,0.100467686685302,non-significant,,cold_tall,
map_coef,-0.0376330754495889,0.0763671421893138,0.622175480434753,-0.187312674140644,0.112046523241466,non-significant,,cold_tall,
human_modification,0.010937040711088,0.0130377980893179,0.401570062016251,-0.0146170435439751,0.0364911249661511,non-significant,,cold_tall,
(Intercept),-0.0127955803135694,0.106270101023228,0.904183642341427,-0.221084978319097,0.195493817691958,non-significant,,cold_short,
nitrogen_depo,-0.033191553557349,0.0871275530758573,0.703312199585515,-0.203961557586029,0.137578450471331,non-significant,,cold_short,
mat_coef,0.205920749672125,0.0715340550756953,0.00407225437601088,0.0657140017237619,0.346127497620487,significant,,cold_short,
max_temp_coef,-0.0285816958799344,0.0525877457020036,0.586893783194401,-0.131653677455861,0.0744902856959925,non-significant,,cold_short,
map_coef,-0.260602199886249,0.113571059779618,0.0219451021000622,-0.483201477054299,-0.0380029227181982,significant,,cold_short,
human_modification,-0.0504615671786172,0.0388361625031883,0.194101378161975,-0.126580445684866,0.0256573113276319,non-significant,,cold_short,
(Intercept),-0.252515573117606,0.131907109897695,0.0560044353662723,-0.511053508517088,0.00602236228187664,non-significant,,not_cold_tall,
nitrogen_depo,-0.0573761007306714,0.0555787755348522,0.302288374239859,-0.166310500778982,0.0515582993176389,non-significant,,not_cold_tall,
mat_coef,-0.168588315689672,0.120365018645382,0.161786844988131,-0.404503752234621,0.0673271208552773,non-significant,,not_cold_tall,
max_temp_coef,-0.0197842029008516,0.0785730187544886,0.801278088608196,-0.173787319659649,0.134218913857946,non-significant,,not_cold_tall,
map_coef,-0.109226176338188,0.0536091325496823,0.0419992739807017,-0.214300076135565,-0.00415227654081092,significant,,not_cold_tall,
human_modification,-0.0263622506406991,0.058451313677196,0.652127622071684,-0.140926825448003,0.0882023241666051,non-significant,,not_cold_tall,
(Intercept),0.053885411245297,0.138531038734763,0.697339717772935,-0.217635424674839,0.325406247165433,non-significant,,not_cold_short,
nitrogen_depo,-0.101588091394217,0.132152526826435,0.442162767252118,-0.360607043974029,0.157430861185595,non-significant,,not_cold_short,
mat_coef,0.0694175960214187,0.119799887622454,0.562361675201478,-0.16539018371859,0.304225375761428,non-significant,,not_cold_short,
max_temp_coef,-0.0461184681655011,0.0833296856281564,0.580027896370309,-0.209444651996688,0.117207715665685,non-significant,,not_cold_short,
map_coef,0.0287202744382451,0.0786000931580991,0.714858297086055,-0.125335908151629,0.182776457028119,non-significant,,not_cold_short,
human_modification,-0.111028207585917,0.0318833343380167,0.000509125715005514,-0.173519542888429,-0.0485368722834039,significant,,not_cold_short,
