term,p_value,estimate,std_error,response,ci_lb,ci_ub,sig,model,t.stat
(Intercept),0.145710772338938,-0.0243714103875442,0.0167489455372858,greenup,-0.0571993436406243,0.00845652286553601,non-significant,H4.0,
protection_cat_broadcontrol,0.0398879142843935,-0.0397305930099802,0.0193288972865498,greenup,-0.0776152316916179,-0.00184595432834257,significant,H4,
protection_cat_broadstrictly_protected,0.67633419740862,-0.00818004840045653,0.0195930340813236,greenup,-0.0465823951998507,0.0302222983989377,non-significant,H4,
protection_cat_broadcontrol,1.11459927575379e-263,0.612917998305843,0.0165037889683297,greenup,0.580570571927916,0.645265424683769,significant,H4.1,
protection_cat_broadstrictly_protected,1.06068804076965e-219,0.559733217564201,0.0167187457056405,greenup,0.526964475981146,0.592501959147256,significant,H4.1,
(Intercept),0.129803921526978,0.0540817943840164,0.0356868024394289,greenup,-0.0158643383972643,0.124027927165297,non-significant,H5.0,
area_km2_log,0.0237182790599942,0.0296969741273199,0.0131212556687288,greenup,0.00397931301661148,0.0554146352380284,significant,H5.0,
pa_age_log,0.306291957394827,-0.0158582057004874,0.0154974675216681,greenup,-0.0462332420429569,0.014516830641982,non-significant,H5.0,
(Intercept),0.129803921526978,0.0540817943840164,0.0356868024394289,greenup,-0.0158643383972643,0.124027927165297,non-significant,H5,
area_km2_log,0.0237182790599942,0.0296969741273199,0.0131212556687288,greenup,0.00397931301661148,0.0554146352380284,significant,H5,
pa_age_log,0.306291957394827,-0.0158582057004874,0.0154974675216681,greenup,-0.0462332420429569,0.014516830641982,non-significant,H5,
(Intercept),1.56315802107374e-82,0.604060595233113,0.0300423920086972,greenup,0.545177506896066,0.662943683570159,significant,H5.1,
area_km2_log,0.0498846068385913,0.0216352745026669,0.011026826724932,greenup,2.26941218001639e-05,0.0432478548835336,significant,H5.1,
pa_age_log,0.769299125709588,0.00378456468724875,0.0129021222186313,greenup,-0.0215035948612686,0.0290727242357661,non-significant,H5.1,
(Intercept),0.786080406555116,0.0091981012213767,0.033886589613175,greenup,-0.0572196144204464,0.0756158168631998,non-significant,H6.0,
area_km2_log,0.109141101069022,0.0199752000591871,0.012463229872906,greenup,-0.00445273049170866,0.0444031306100829,non-significant,H6.0,
pa_age_log,0.576660056848232,-0.00825652062734831,0.0147872202288966,greenup,-0.0372394722759856,0.020726431021289,non-significant,H6.0,
(Intercept),0.786080406555116,0.0091981012213767,0.033886589613175,greenup,-0.0572196144204464,0.0756158168631998,non-significant,H6,
area_km2_log,0.109141101069022,0.0199752000591871,0.012463229872906,greenup,-0.00445273049170866,0.0444031306100829,non-significant,H6,
pa_age_log,0.576660056848232,-0.00825652062734831,0.0147872202288966,greenup,-0.0372394722759856,0.020726431021289,non-significant,H6,
(Intercept),3.05488751468589e-45,0.411779914473809,0.0284955383167415,greenup,0.355928659372995,0.467631169574622,significant,H6.1,
area_km2_log,0.10316841169657,-0.017064602169168,0.0104666610757247,greenup,-0.0375792578775884,0.00345005353925235,non-significant,H6.1,
pa_age_log,0.900607652960507,-0.00153472139426284,0.0122867627227761,greenup,-0.0256167763309041,0.0225473335423784,non-significant,H6.1,
(Intercept),0.786080406555116,0.0091981012213767,0.033886589613175,greenup,-0.0572196144204464,0.0756158168631998,non-significant,H7.0,
area_km2_log,0.109141101069022,0.0199752000591871,0.012463229872906,greenup,-0.00445273049170866,0.0444031306100829,non-significant,H7.0,
pa_age_log,0.576660056848232,-0.00825652062734831,0.0147872202288966,greenup,-0.0372394722759856,0.020726431021289,non-significant,H7.0,
(Intercept),0.786080406555116,0.0091981012213767,0.033886589613175,greenup,-0.0572196144204464,0.0756158168631998,non-significant,H7,
area_km2_log,0.109141101069022,0.0199752000591871,0.012463229872906,greenup,-0.00445273049170866,0.0444031306100829,non-significant,H7,
pa_age_log,0.576660056848232,-0.00825652062734831,0.0147872202288966,greenup,-0.0372394722759856,0.020726431021289,non-significant,H7,
(Intercept),3.05488751468589e-45,0.411779914473809,0.0284955383167415,greenup,0.355928659372995,0.467631169574622,significant,H7.1,
area_km2_log,0.10316841169657,-0.017064602169168,0.0104666610757247,greenup,-0.0375792578775884,0.00345005353925235,non-significant,H7.1,
pa_age_log,0.900607652960507,-0.00153472139426284,0.0122867627227761,greenup,-0.0256167763309041,0.0225473335423784,non-significant,H7.1,
