term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0372913543680835,0.863813579085375,1.58388178044476e-05,0.0203606082180101,0.0542221005181568,significant,mean_evi,SLN,Intercept,0.00863813579085375,Sig. Positive
nitrogen_depo,0.0387514638492632,0.597031054250544,8.61426130063824e-11,0.0270496551859526,0.0504532725125739,significant,mean_evi,SLN,Nitrogen Deposition,0.00597031054250544,Sig. Positive
mat_coef,-0.000821981537865139,0.443898992291906,0.853093926044842,-0.00952240178678649,0.00787843871105622,non-significant,mean_evi,SLN,MAT Trend,0.00443898992291906,Non-Significant
max_temp_coef,0.000867367610662613,0.20771227863128,0.676254857498142,-0.00320379305051048,0.0049385282718357,non-significant,mean_evi,SLN,Max Temp Trend,0.0020771227863128,Non-Significant
map_coef,-0.00311745694347765,0.131963479453357,0.0181621835860698,-0.00570394114076344,-0.000530972746191861,significant,mean_evi,SLN,MAP Trend,0.00131963479453357,Sig. Negative
human_modification,0.00460734116245148,0.096108655235393,1.63992883384032e-06,0.00272361151983778,0.00649107080506518,significant,mean_evi,SLN,Human Modification,0.00096108655235393,Sig. Positive
(Intercept),0.0594323366319911,1.17233621078939,4.01700208918097e-07,0.0364545469005191,0.0824101263634631,significant,mean_evi,TMC,Intercept,0.0117233621078939,Sig. Positive
nitrogen_depo,0.0273853147887008,1.14384975078072,0.0166672376632939,0.00496585967339866,0.049804769904003,significant,mean_evi,TMC,Nitrogen Deposition,0.0114384975078072,Sig. Positive
mat_coef,0.0121850785120179,1.47223882384064,0.407873387494554,-0.0166708024352586,0.0410409594592944,non-significant,mean_evi,TMC,MAT Trend,0.0147223882384064,Non-Significant
max_temp_coef,-0.0080823964311913,0.542116715285587,0.136001987673272,-0.0187078840507888,0.00254309118840621,non-significant,mean_evi,TMC,Max Temp Trend,0.00542116715285587,Non-Significant
map_coef,-0.00168462753000943,1.44966250816391,0.907488468665855,-0.030098012690022,0.0267287576300031,non-significant,mean_evi,TMC,MAP Trend,0.0144966250816391,Non-Significant
human_modification,-0.00321965837852268,0.187049650914208,0.0852119732454546,-0.00688583153644116,0.000446514779395807,non-significant,mean_evi,TMC,Human Modification,0.00187049650914208,Non-Significant
(Intercept),0.034339653732776,1.02659342637073,0.000825045047160162,0.0142184225759097,0.0544608848896424,significant,mean_evi,SLD,Intercept,0.0102659342637073,Sig. Positive
