term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),5.40257931620774,0.460251008573584,8.30487483517303e-32,4.50048733940351,6.30467129301196,significant,,H1,
(Intercept),4.96899338498934,0.42683705066948,2.59740110984935e-31,4.13239276567716,5.80559400430152,significant,,H2,
nitrogen_depo,2.7895227359849,0.233811844455469,8.40937745205145e-33,2.33125152085218,3.24779395111761,significant,,H2,
mat_coef,0.605612498294761,0.402186706585658,0.132120267963489,-0.182673446613129,1.39389844320265,non-significant,,H2,
max_temp_coef,-0.34484367189297,0.278492395961073,0.215624223337853,-0.890688767976674,0.201001424190734,non-significant,,H2,
map_coef,0.0434475250239609,0.229669914434598,0.849956813093628,-0.406705507267851,0.493600557315772,non-significant,,H2,
human_modification,-0.068767252065124,0.154061628393723,0.655336284570899,-0.370728043716821,0.233193539586572,non-significant,,H2,
super_biomecold_short,4.51142859253291,0.835096282415951,6.58722537132403e-08,2.87463987899764,6.14821730606817,significant,,H3,
super_biomecold_tall,6.01036679547968,0.771638448371629,6.78125706552775e-15,4.49795543667128,7.52277815428807,significant,,H3,
super_biomenot_cold_short,4.69342176252958,0.532341164647707,1.1894382756435e-18,3.65003307982008,5.73681044523909,significant,,H3,
super_biomenot_cold_tall,6.18687736326552,0.526125356551229,6.47987188891236e-32,5.15567166442511,7.21808306210593,significant,,H3,
protection_cat_broadMixed,4.95862647698607,0.518633310304521,1.17938547839261e-21,3.94210518878921,5.97514776518293,significant,,H4,
protection_cat_broadStrict,5.68712780906708,0.539882831358825,6.11716839914852e-26,4.62895745960378,6.74529815853038,significant,,H4,
protection_cat_broadUnprotected,5.47265423925814,0.464231382467324,4.57835671513148e-32,4.56276072962219,6.38254774889409,significant,,H4,
protection_cat_broadMixed,8.63778963222863,0.401749233749222,2.01749587384122e-102,7.85036113408015,9.4252181303771,significant,,H4.1,
protection_cat_broadStrict,8.93398376581578,0.418227769202413,3.95958449783289e-101,8.11425733817906,9.75371019345251,significant,,H4.1,
protection_cat_broadUnprotected,9.34628348651738,0.358934811822845,3.19719019807473e-149,8.64277125534461,10.0497957176902,significant,,H4.1,
(Intercept),5.04115375978404,0.704545837816414,8.55819318575296e-13,3.66024391766387,6.42206360190421,significant,,H5,
area_km2_log,-0.0311587765239633,0.385312980923722,0.935548970363699,-0.786372219134459,0.724054666086533,non-significant,,H5,
pa_age_log,0.118353771330036,0.300291593333041,0.693488395341617,-0.470217751602725,0.706925294262797,non-significant,,H5,
(Intercept),8.93967230384438,0.522979033568341,3.49714577799301e-65,7.91463339805043,9.96471120963833,significant,,H5.1,
area_km2_log,-0.366487172382995,0.290907073928781,0.207748822329284,-0.936665037283405,0.203690692517416,non-significant,,H5.1,
pa_age_log,-0.0789221177677707,0.227054260840397,0.7281496051323,-0.52394846901495,0.366104233479408,non-significant,,H5.1,
(Intercept),5.06740869345568,1.00709507501743,4.88686739321016e-07,3.09350234642152,7.04131504048985,significant,,cold_tall,
nitrogen_depo,2.60735045290073,0.863826757537452,0.00254331367022882,0.914250008127319,4.30045089767413,significant,,cold_tall,
mat_coef,0.963939711023573,1.13729986578588,0.39668440775972,-1.26516802591676,3.1930474479639,non-significant,,cold_tall,
max_temp_coef,-0.778365359908602,0.560943656940529,0.165268314022206,-1.87781492751204,0.321084207694835,non-significant,,cold_tall,
map_coef,0.509681604836723,1.26944113804244,0.688054073878141,-1.97842302572646,2.9977862353999,non-significant,,cold_tall,
human_modification,-0.327792962936867,0.187397010088949,0.0802675212759912,-0.695091102711207,0.0395051768374728,non-significant,,cold_tall,
(Intercept),4.72530852080767,1.24555024998068,0.000148731720100266,2.28403003084553,7.16658701076981,significant,,cold_short,
nitrogen_depo,3.28412468880634,1.55034940323816,0.0341582788077986,0.245439858459549,6.32280951915314,significant,,cold_short,
mat_coef,1.69910405863134,1.00633407703434,0.0913449081789671,-0.273310732355959,3.67151884961864,non-significant,,cold_short,
max_temp_coef,-0.416131380502696,0.432928629738564,0.336460317799547,-1.26467149479028,0.432408733784889,non-significant,,cold_short,
map_coef,1.60670716188333,1.26341643580695,0.203485605810369,-0.86958905229829,4.08300337606495,non-significant,,cold_short,
human_modification,-0.601455897561845,0.274512135294362,0.0284608897345345,-1.1394996827388,-0.0634121123848952,significant,,cold_short,
(Intercept),5.03648236528844,0.424787825892494,2.1458786057326e-32,4.20389822653916,5.86906650403773,significant,,not_cold_tall,
nitrogen_depo,2.64495360628413,0.224642031851761,5.70754174171445e-32,2.20465522385467,3.08525198871358,significant,,not_cold_tall,
mat_coef,-0.40100386722412,0.417603940927829,0.336933240940009,-1.21950759144266,0.417499856994424,non-significant,,not_cold_tall,
max_temp_coef,0.0235174532776673,0.35813497651624,0.947643577214294,-0.678427100694163,0.725462007249497,non-significant,,not_cold_tall,
map_coef,0.0289114746261458,0.212898645300571,0.891980396720147,-0.388369870162973,0.446192819415265,non-significant,,not_cold_tall,
human_modification,0.195838029206233,0.190578757941015,0.304143453324441,-0.177696336358157,0.569372394770622,non-significant,,not_cold_tall,
(Intercept),5.50602162785741,0.763730145730116,5.67583688974751e-13,4.00911054222638,7.00293271348843,significant,,not_cold_short,
nitrogen_depo,2.06661902542432,0.296046979226647,2.96223757620388e-12,1.48636694614009,2.64687110470855,significant,,not_cold_short,
mat_coef,0.773838252283309,0.453995150732999,0.0882905984861118,-0.11599224315337,1.66366874771999,non-significant,,not_cold_short,
max_temp_coef,-0.529611396759417,0.252288630345755,0.035800276990553,-1.0240971122371,-0.0351256812817372,significant,,not_cold_short,
map_coef,-0.473133485393998,0.27164270083684,0.0815566056778346,-1.0055531790342,0.0592862082462081,non-significant,,not_cold_short,
human_modification,0.0714869669156745,0.126864196582224,0.573101628992373,-0.177166858385484,0.320140792216833,non-significant,,not_cold_short,
