term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0678820850220083,1.11034878400306,9.8837576883403e-10,0.0461192488555484,0.0896449211884682,significant,mean_evi,Temperate Broadleaf & Mixed Forests,Intercept,0.0111034878400306,Sig. Positive
nitrogen_depo,0.0262909023890869,0.383709593113499,7.46061277891509e-12,0.0187701943640623,0.0338116104141115,significant,mean_evi,Temperate Broadleaf & Mixed Forests,Nitrogen Deposition,0.00383709593113499,Sig. Positive
mat_coef,0.0148848012943624,1.07062292627557,0.164451936066429,-0.00609940806063875,0.0358690106493635,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,MAT Trend,0.0107062292627557,Non-Significant
max_temp_coef,0.00877086010438888,0.453614835513354,0.0531798299504266,-0.000119990671672852,0.0176617108804506,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,Max Temp Trend,0.00453614835513354,Non-Significant
map_coef,-0.00719185769939567,0.682113741824289,0.291733300789164,-0.0205612870391517,0.0061775716403604,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,MAP Trend,0.00682113741824289,Non-Significant
human_modification,-0.000601791934191322,0.137785202294776,0.662288444988485,-0.00330238189916893,0.00209879803078628,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,Human Modification,0.00137785202294776,Non-Significant
(Intercept),0.0335419492818659,1.52671655388925,0.0280290030046736,0.00361830482563665,0.0634655937380952,significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Intercept,0.0152671655388925,Sig. Positive
nitrogen_depo,0.0260778991860834,0.997833069895271,0.00896822595501373,0.00652037101613608,0.0456354273560307,significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Nitrogen Deposition,0.00997833069895271,Sig. Positive
mat_coef,0.00980234144324802,0.821508132507894,0.232796502932072,-0.0062992179539067,0.0259039008404028,non-significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",MAT Trend,0.00821508132507894,Non-Significant
max_temp_coef,0.00577453986003256,0.467469007644275,0.216737998053108,-0.00338785268979522,0.0149369324098603,non-significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Max Temp Trend,0.00467469007644275,Non-Significant
map_coef,-0.0187010938139793,1.07172380659432,0.0810041876540167,-0.039706880423228,0.0023046927952693,non-significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",MAP Trend,0.0107172380659432,Non-Significant
human_modification,0.00334068541533101,0.110524315858362,0.00250865921802712,0.00117440882450712,0.0055069620061549,significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Human Modification,0.00110524315858362,Sig. Positive
(Intercept),0.0514932114241546,0.832945921810544,6.45317930456604e-10,0.0351674713566679,0.0678189514916412,significant,mean_evi,Montane Grasslands & Shrublands,Intercept,0.00832945921810544,Sig. Positive
nitrogen_depo,0.00908130507456917,0.260822380032759,0.00049915552522575,0.00396918642592709,0.0141934237232113,significant,mean_evi,Montane Grasslands & Shrublands,Nitrogen Deposition,0.00260822380032759,Sig. Positive
mat_coef,-0.0044582304399785,0.567949202235776,0.432480769000731,-0.0155900348037997,0.0066735739238427,non-significant,mean_evi,Montane Grasslands & Shrublands,MAT Trend,0.00567949202235776,Non-Significant
max_temp_coef,0.000279763060908649,0.359211255231404,0.937922243229642,-0.00676077754162686,0.00732030366344416,non-significant,mean_evi,Montane Grasslands & Shrublands,Max Temp Trend,0.00359211255231404,Non-Significant
map_coef,-0.00328421775430877,0.31628848601482,0.29911472131825,-0.00948347208019925,0.00291503657158171,non-significant,mean_evi,Montane Grasslands & Shrublands,MAP Trend,0.0031628848601482,Non-Significant
human_modification,0.00904690184503283,0.176380807646822,2.93791615932263e-07,0.00558983801515513,0.0125039656749105,significant,mean_evi,Montane Grasslands & Shrublands,Human Modification,0.00176380807646822,Sig. Positive
(Intercept),0.0597980378551391,0.777966893013794,1.53901796580611e-14,0.0445498867520687,0.0750461889582094,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Intercept,0.00777966893013794,Sig. Positive
nitrogen_depo,0.0405647566185351,0.679265966462011,2.36084248116312e-09,0.0272511436758797,0.0538783695611905,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Nitrogen Deposition,0.00679265966462012,Sig. Positive
mat_coef,-0.00729650055276278,0.529012038284582,0.167817638118921,-0.0176651365031406,0.00307213539761503,non-significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAT Trend,0.00529012038284582,Non-Significant
max_temp_coef,-0.00263848903397314,0.449061998317567,0.556833138618952,-0.0114401042009974,0.00616312613305116,non-significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Max Temp Trend,0.00449061998317567,Non-Significant
map_coef,-0.000681578009439987,0.309008878553105,0.825428847085625,-0.00673815202908084,0.00537499601020087,non-significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAP Trend,0.00309008878553105,Non-Significant
human_modification,-0.00658968815903712,0.152065434094476,1.47060216567726e-05,-0.00957017066728885,-0.0036092056507854,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Human Modification,0.00152065434094476,Sig. Negative
(Intercept),0.0255803837681376,0.737039606591645,0.000519387767045212,0.0111344074789413,0.0400263600573338,significant,mean_evi,Deserts & Xeric Shrublands,Intercept,0.00737039606591645,Sig. Positive
nitrogen_depo,0.0184326432529999,0.341244261909153,6.62359555962424e-08,0.0117442557195805,0.0251210307864193,significant,mean_evi,Deserts & Xeric Shrublands,Nitrogen Deposition,0.00341244261909153,Sig. Positive
mat_coef,-0.00231778457162926,0.474204514715732,0.625003602779052,-0.0116121930600576,0.00697662391679909,non-significant,mean_evi,Deserts & Xeric Shrublands,MAT Trend,0.00474204514715732,Non-Significant
max_temp_coef,-0.00581237430732183,0.253741253351451,0.0219850825160041,-0.0107857028730103,-0.000839045741633388,significant,mean_evi,Deserts & Xeric Shrublands,Max Temp Trend,0.00253741253351451,Sig. Negative
map_coef,-0.0046510223347247,0.207953058359397,0.0253169690193261,-0.00872690227856889,-0.000575142390880518,significant,mean_evi,Deserts & Xeric Shrublands,MAP Trend,0.00207953058359397,Sig. Negative
human_modification,0.00783648544958634,0.103789570998904,4.38601331047797e-14,0.00580220985800781,0.00987076104116487,significant,mean_evi,Deserts & Xeric Shrublands,Human Modification,0.00103789570998905,Sig. Positive
(Intercept),0.0462035298085741,0.822213229818995,1.92556002791876e-08,0.0300881505041218,0.0623189091130264,significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Intercept,0.00822213229818995,Sig. Positive
nitrogen_depo,0.0283952721969398,0.30642747009606,1.9910339363158e-20,0.022389293783057,0.0344012506108226,significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Nitrogen Deposition,0.0030642747009606,Sig. Positive
mat_coef,-0.01193620644753,0.602886354750328,0.0477261997648288,-0.0237527790006364,-0.000119633894423574,significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,MAT Trend,0.00602886354750328,Sig. Negative
max_temp_coef,0.00349945699484865,0.421206091040421,0.406080007512111,-0.00475618238954361,0.0117550963792409,non-significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Max Temp Trend,0.00421206091040421,Non-Significant
map_coef,0.0011686754150616,0.213538809156135,0.584182146884763,-0.00301668524439866,0.00535403607452185,non-significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,MAP Trend,0.00213538809156135,Non-Significant
human_modification,0.00467685314718587,0.24171106645941,0.0530085263844338,-6.06837554185596e-05,0.0094143900497903,non-significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Human Modification,0.0024171106645941,Non-Significant
(Intercept),0.0460578845395817,0.917663715669336,5.26780628839045e-07,0.0280716757124628,0.0640440933667007,significant,mean_evi,Temperate Conifer Forests,Intercept,0.00917663715669336,Sig. Positive
nitrogen_depo,0.021744474987068,0.434230745126918,5.59029651053284e-07,0.0132335523825804,0.0302553975915556,significant,mean_evi,Temperate Conifer Forests,Nitrogen Deposition,0.00434230745126918,Sig. Positive
mat_coef,-0.0125246681015301,0.899362852940968,0.163761927008079,-0.0301521800191731,0.00510284381611285,non-significant,mean_evi,Temperate Conifer Forests,MAT Trend,0.00899362852940968,Non-Significant
