term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),6.35520591003195,0.441080943994366,1.01948234919805e-46,5.490687259803,7.21972456026091,significant,,H1,
(Intercept),6.16575873571849,0.444946791063473,2.28154266532922e-43,5.29366302523409,7.0378544462029,significant,,H2,
nitrogen_depo,1.22256265929721,0.273208453295702,7.70980249790423e-06,0.687074090837637,1.75805122775679,significant,,H2,
mat_coef,0.0176273857093478,0.40373106926154,0.965175110083616,-0.77368551004327,0.808940281461966,non-significant,,H2,
max_temp_coef,0.120409704599308,0.333603419415256,0.718152462662769,-0.533452997454593,0.774272406653209,non-significant,,H2,
map_coef,0.547840853739233,0.240080141000047,0.0225103002852726,0.0772837773791403,1.01839793009933,significant,,H2,
human_modification,0.022096218385373,0.155764966661025,0.887195755490042,-0.283203116270236,0.327395553040982,non-significant,,H2,
super_biomecold_short,5.8453541799271,1.0222847769054,1.10117021319999e-08,3.84167601719252,7.84903234266168,significant,,H3,
super_biomecold_tall,5.98601578555279,0.667776438300946,3.53514675719987e-19,4.67717396648293,7.29485760462264,significant,,H3,
super_biomenot_cold_short,6.4384921128258,0.514198655483864,9.01679840703054e-36,5.43066274807743,7.44632147757417,significant,,H3,
super_biomenot_cold_tall,6.42156210355028,0.486483522528336,1.5444047451713e-39,5.46805439939474,7.37506980770582,significant,,H3,
protection_cat_broadcontrol,6.71585381212583,0.448361054706561,2.56745357104086e-50,5.83706614490097,7.59464147935069,significant,,H4,
protection_cat_broadstrictly_protected,5.97448475416708,0.451545687085472,1.02446515698078e-39,5.08945520747956,6.85951430085461,significant,,H4,
protection_cat_broadcontrol,10.3038730954247,0.312178115820593,7.96924649409108e-230,9.69200398841633,10.9157422024331,significant,,H4.1,
protection_cat_broadstrictly_protected,9.233296398034,0.314969937973536,3.48687064974657e-183,8.61595531960587,9.85063747646213,significant,,H4.1,
(Intercept),6.57046229992425,0.505880855176141,4.64819028069905e-38,5.57893582377902,7.56198877606949,significant,,H5,
area_km2_log,-0.443797511803367,0.185095552970799,0.0165302924946625,-0.806584795626132,-0.0810102279806019,significant,,H5,
pa_age_log,-0.510088034224407,0.182781572827644,0.00527611302234805,-0.86833991696659,-0.151836151482225,significant,,H5,
(Intercept),9.86196224954692,0.348351316193343,1.38103664770991e-165,9.17919366980797,10.5447308292859,significant,,H5.1,
area_km2_log,-0.780034393352264,0.14232988989597,4.41517832614506e-08,-1.05900097754837,-0.501067809156163,significant,,H5.1,
pa_age_log,-0.22196759115804,0.147281770130395,0.131839108897122,-0.510639860613614,0.0667046782975344,non-significant,,H5.1,
(Intercept),5.33103824495632,1.13337287558919,2.63756464662952e-06,3.1096274088015,7.55244908111114,significant,,cold_tall,
nitrogen_depo,2.28831171768069,0.822453183468909,0.00542176163628107,0.676303478081625,3.90031995727975,significant,,cold_tall,
mat_coef,-0.462809573242378,1.02416053560589,0.651370535266126,-2.47016422302993,1.54454507654517,non-significant,,cold_tall,
max_temp_coef,0.374942395472457,0.572736799903672,0.512728914591623,-0.74762173233874,1.49750652328365,non-significant,,cold_tall,
map_coef,0.178471946778255,1.00831022989857,0.85951617030622,-1.79781610382295,2.15475999737946,non-significant,,cold_tall,
human_modification,-0.430187984406805,0.207140576210651,0.0378817526242844,-0.836183513779681,-0.0241924550339301,significant,,cold_tall,
(Intercept),2.46174075313398,1.66952619306719,0.141869695163633,-0.810530585277726,5.73401209154568,non-significant,,cold_short,
nitrogen_depo,4.05691676745956,1.56199636823214,0.0100747310756853,0.995403885724567,7.11842964919456,significant,,cold_short,
mat_coef,6.09155503868653,1.57292338783739,0.00014450233996616,3.00862519852524,9.17448487884782,significant,,cold_short,
max_temp_coef,-1.12546820755437,1.11803553887166,0.315284928140828,-3.31681786374283,1.06588144863409,non-significant,,cold_short,
map_coef,2.15610417160183,1.41554224582947,0.129251096712635,-0.61835863022393,4.93056697342758,non-significant,,cold_short,
human_modification,-2.36473088512676,0.776014461289444,0.00261154574372743,-3.88571922925407,-0.843742540999448,significant,,cold_short,
(Intercept),6.32386386062408,0.545555347514562,9.67970454000243e-31,5.25457537949554,7.39315234175262,significant,,not_cold_tall,
nitrogen_depo,1.14639934434885,0.304156348490982,0.000165409682103184,0.550252901306525,1.74254578739117,significant,,not_cold_tall,
mat_coef,0.0691553709076172,0.528849031288494,0.895964977882655,-0.967388730417832,1.10569947223307,non-significant,,not_cold_tall,
max_temp_coef,-0.332000650372314,0.449218794755745,0.459898257949691,-1.21246948809357,0.548468187348946,non-significant,,not_cold_tall,
map_coef,0.552813023749434,0.255211557157974,0.0303432165130034,0.0525983717198045,1.05302767577906,significant,,not_cold_tall,
human_modification,0.323318735807386,0.242520144500236,0.182529387533848,-0.152020747413077,0.798658219027849,non-significant,,not_cold_tall,
(Intercept),6.16712744603138,0.537735836545077,6.25018066390238e-30,5.11316520640303,7.22108968565973,significant,,not_cold_short,
nitrogen_depo,0.995101373131577,0.399307600010644,0.0127449493627476,0.212458477110714,1.77774426915244,significant,,not_cold_short,
mat_coef,0.0197320672791922,0.445131652096132,0.964644930813811,-0.852725970829227,0.892190105387611,non-significant,,not_cold_short,
max_temp_coef,0.605340086375471,0.367931639642059,0.100005449874467,-0.115805927322964,1.32648610007391,non-significant,,not_cold_short,
map_coef,-0.059463046796419,0.345333781328403,0.863297807325287,-0.73631725820009,0.617391164607252,non-significant,,not_cold_short,
human_modification,0.0954120655504144,0.197375815639942,0.628839067751696,-0.291444533103871,0.4822686642047,non-significant,,not_cold_short,
