term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),5.68982001247457,0.592665879467343,8.00896852075007e-22,4.52819488871858,6.85144513623057,significant,,H1,
(Intercept),5.31465625216822,0.540187555809395,7.72903560034637e-23,4.25588864278181,6.37342386155464,significant,,H2,
nitrogen_depo,3.39285845879275,0.331822836599287,1.54469481594239e-24,2.74248569905814,4.04323121852735,significant,,H2,
mat_coef,0.418596221869218,0.485240719532753,0.388326703530759,-0.532475588414978,1.36966803215341,non-significant,,H2,
max_temp_coef,-0.231284958847309,0.285050525488407,0.417146639636811,-0.789983988804587,0.32741407110997,non-significant,,H2,
map_coef,0.00431910183658139,0.267313119859624,0.987108778919844,-0.519614613088281,0.528252816761444,non-significant,,H2,
human_modification,0.246728529096365,0.187636236726547,0.18853417988779,-0.121038494887667,0.614495553080396,non-significant,,H2,
super_biomecold_short,5.83042585098355,0.837872709948961,3.44193807643856e-12,4.18819533948359,7.47265636248351,significant,,H3,
super_biomecold_tall,6.05452374314491,0.884622750671478,7.70238960635124e-12,4.32066315182882,7.78838433446101,significant,,H3,
super_biomenot_cold_short,4.2731833167015,0.760511842523202,1.9239025949429e-08,2.78258010535602,5.76378652804697,significant,,H3,
super_biomenot_cold_tall,6.70052082642862,0.754168491105143,6.43866443075652e-19,5.22235058386254,8.1786910689947,significant,,H3,
protection_cat_broadMixed,5.50882326010433,0.650017084958785,2.36100757859215e-17,4.23478977358511,6.78285674662355,significant,,H4,
protection_cat_broadStrict,5.98147507312728,0.666778008741268,2.95849988060939e-19,4.67459017599439,7.28835997026017,significant,,H4,
protection_cat_broadUnprotected,5.70226858828575,0.594705857538152,8.99700553065818e-22,4.53664510751098,6.86789206906053,significant,,H4,
protection_cat_broadMixed,9.43261600516907,0.519995898806419,1.65770547103815e-73,8.41342404350849,10.4518079668296,significant,,H4.1,
protection_cat_broadStrict,10.041390550524,0.536158262700743,3.14373904557168e-78,8.99052035563059,11.0922607454175,significant,,H4.1,
protection_cat_broadUnprotected,10.4037766988708,0.471721621527809,9.97550182667714e-108,9.47920232067626,11.3283510770653,significant,,H4.1,
(Intercept),4.9349261393167,0.846833376270183,5.79194394259981e-09,3.27513272182714,6.59471955680625,significant,,H5,
area_km2_log,-0.343878960450352,0.514400472283037,0.503826412381751,-1.3521038861251,0.664345965224401,non-significant,,H5,
pa_age_log,0.353591239161569,0.358263630801327,0.323685887891852,-0.348605477209033,1.05578795553217,non-significant,,H5,
(Intercept),9.71574356819675,0.623256665100344,3.51759347247508e-54,8.49416050460007,10.9373266317934,significant,,H5.1,
area_km2_log,-0.490453915853856,0.385777289051423,0.203636085386396,-1.24657740239465,0.265669570686932,non-significant,,H5.1,
pa_age_log,0.0446333244967947,0.26873565056173,0.868092194668236,-0.482088550604197,0.571355199597786,non-significant,,H5.1,
(Intercept),6.52862843575471,1.14904392420506,1.33664741679128e-08,4.27650234431279,8.78075452719662,significant,,cold_tall,
nitrogen_depo,4.19430216689843,0.657361480016806,1.77276732635375e-10,2.90587366606549,5.48273066773137,significant,,cold_tall,
mat_coef,0.280705561900624,1.10717226157094,0.799856293888357,-1.88935207077841,2.45076319457966,non-significant,,cold_tall,
max_temp_coef,-0.913865913432377,0.57135368953879,0.109718312254473,-2.03371914492841,0.20598731806365,non-significant,,cold_tall,
map_coef,-2.58289990448892,1.41726594866464,0.0683893764281942,-5.36074116387162,0.194941354893769,non-significant,,cold_tall,
human_modification,-0.0970885820684333,0.28799346131165,0.736026565680479,-0.661555766239268,0.467378602102401,non-significant,,cold_tall,
(Intercept),6.1006947438902,0.913864643418876,2.47375896381448e-11,4.3095200427892,7.89186944499119,significant,,cold_short,
nitrogen_depo,3.16442734040269,0.424934784471889,9.63908599690591e-14,2.33155516283778,3.99729951796759,significant,,cold_short,
mat_coef,0.717696352449773,0.537577945264445,0.181861383224195,-0.335956420268539,1.77134912516809,non-significant,,cold_short,
max_temp_coef,-0.36801963113293,0.21711193262501,0.0900656518993443,-0.79355901907795,0.0575197568120908,non-significant,,cold_short,
map_coef,-0.686639127102667,0.897065560722097,0.444018593818046,-2.44488762611798,1.07160937191264,non-significant,,cold_short,
human_modification,0.335390323806787,0.166982855164296,0.0445896471560305,0.00810392768476792,0.662676719928807,significant,,cold_short,
(Intercept),4.5752644952085,0.677741873196737,1.47907115739222e-11,3.24689042374289,5.9036385666741,significant,,not_cold_tall,
nitrogen_depo,3.09332881937211,0.313671255295949,6.25463423760513e-23,2.47853315899205,3.70812447975217,significant,,not_cold_tall,
mat_coef,-0.626272803978104,0.573525655251128,0.274848999323501,-1.75038308827031,0.497837480314106,non-significant,,not_cold_tall,
max_temp_coef,0.0376949947660551,0.395507504064394,0.924070454168188,-0.737499713200156,0.812889702732266,non-significant,,not_cold_tall,
map_coef,0.041005822110809,0.230856852968439,0.859018289831434,-0.411473609707331,0.493485253928949,non-significant,,not_cold_tall,
human_modification,0.553064105061607,0.206871189764044,0.00750833325616708,0.147596573124081,0.958531636999133,significant,,not_cold_tall,
(Intercept),4.59612335190752,1.03005603083506,8.12829455010001e-06,2.5772135314708,6.61503317234424,significant,,not_cold_short,
nitrogen_depo,2.29855705464915,0.432055656317588,1.03965011530917e-07,1.45172796826668,3.14538614103162,significant,,not_cold_short,
mat_coef,0.312809380663906,0.670869032245258,0.641019782961793,-1.0020939225368,1.62771268386461,non-significant,,not_cold_short,
max_temp_coef,-0.369709983380372,0.316784094355251,0.2431839402963,-0.990606808316663,0.251186841555919,non-significant,,not_cold_short,
map_coef,-0.263961969253854,0.239625794396829,0.27065609409031,-0.733628526271638,0.20570458776393,non-significant,,not_cold_short,
human_modification,0.162829441771614,0.125415969259361,0.194182127627515,-0.0829858579767344,0.408644741519962,non-significant,,not_cold_short,
