term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),3.94115951815635,1.59770611688317,0.0136358353998258,0.809655529065327,7.07266350724737,significant,mean_evi,zhu_n_depo,
n_depo_usa_coef,0.274006016303633,0.123969442688612,0.0270887079514216,0.0310259086339527,0.516986123973313,significant,mean_evi,zhu_n_depo,
mat_coef,0.42747911560218,0.320862742505145,0.182771217539608,-0.201411859707904,1.05637009091226,non-significant,mean_evi,zhu_n_depo,
max_temp_coef,0.331868322921441,0.399702803533937,0.406378178344044,-0.451549172005075,1.11528581784796,non-significant,mean_evi,zhu_n_depo,
map_coef,1.04608806395174,0.589263528421965,0.0758603108711635,-0.108868451755309,2.20104457965879,non-significant,mean_evi,zhu_n_depo,
human_modification,-0.00726876494619014,0.0944446779854313,0.938652976122236,-0.192380333797636,0.177842803905255,non-significant,mean_evi,zhu_n_depo,
(Intercept),5.38448676247551e-05,1.4304327985524e-05,0.000167157215463281,2.58083847731281e-05,8.18813504763821e-05,significant,burned_area,zhu_n_depo,
n_depo_usa_coef,1.53450067377987e-05,1.42319438836393e-05,0.280943274537556,-1.25496032741343e-05,4.32396167497317e-05,non-significant,burned_area,zhu_n_depo,
mat_coef,-2.88707770493981e-05,1.87708768339384e-05,0.124036651015173,-6.56616956439173e-05,7.92014154512119e-06,non-significant,burned_area,zhu_n_depo,
max_temp_coef,9.67475312926829e-06,1.76476743344936e-05,0.583544245793983,-2.49146885663392e-05,4.42641948248758e-05,non-significant,burned_area,zhu_n_depo,
map_coef,-3.11706650201939e-05,1.97509696869162e-05,0.114526592023597,-6.98825656065495e-05,7.54123556616181e-06,non-significant,burned_area,zhu_n_depo,
human_modification,-1.81317592180814e-06,1.23093843704484e-05,0.882895306978547,-2.59395692878871e-05,2.23132174442708e-05,non-significant,burned_area,zhu_n_depo,
(Intercept),0.115362052483729,0.178771041670453,0.518731721262034,-0.23502918919036,0.465753294157817,non-significant,greenup,zhu_n_depo,
n_depo_usa_coef,-0.0122506484909856,0.0183192082446585,0.503669218738972,-0.0481562966505163,0.0236549996685452,non-significant,greenup,zhu_n_depo,
mat_coef,-0.0549187254267644,0.0241006093862545,0.022687387330707,-0.102155919823823,-0.00768153102970562,significant,greenup,zhu_n_depo,
max_temp_coef,0.0295889885669984,0.033427210004796,0.376065506023503,-0.0359283430424019,0.0951063201763986,non-significant,greenup,zhu_n_depo,
map_coef,-0.0235929855821177,0.068981304111876,0.732337255653071,-0.158796341641395,0.111610370477159,non-significant,greenup,zhu_n_depo,
human_modification,-0.0489102006497797,0.00884435990211188,3.21617511827059e-08,-0.0662451460579189,-0.0315752552416404,significant,greenup,zhu_n_depo,
