term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0223157741931983,2.84662124694301,0.433086259981011,-0.0334780022468847,0.0781095506332813,non-significant,mean_evi,THN,Intercept,0.0284662124694301,Non-Significant
n_depo_usa_coef,0.00438561675439234,0.128205934380249,0.000625857217366,0.00187278044053947,0.00689845306824521,significant,mean_evi,THN,N Deposition Trend,0.00128205934380249,Sig. Positive
nitrogen_depo,-0.00138395086427672,0.560836006156321,0.805092386959439,-0.0123763365849406,0.00960843485638717,non-significant,mean_evi,THN,N Deposition Mean,0.00560836006156321,Non-Significant
mat_coef,-0.0101267505536446,1.30230092942638,0.436812471726613,-0.0356518487704017,0.0153983476631125,non-significant,mean_evi,THN,MAT Trend,0.0130230092942638,Non-Significant
max_temp_coef,0.00687935563653683,0.800927944430476,0.390394392742531,-0.0088188320743005,0.0225775433473742,non-significant,mean_evi,THN,Max Temp Trend,0.00800927944430476,Non-Significant
map_coef,0.0101238937758523,0.926850797987634,0.274720559932074,-0.00804238186470529,0.0282901694164099,non-significant,mean_evi,THN,MAP Trend,0.00926850797987633,Non-Significant
human_modification,-0.000939503584927125,0.113215640363345,0.406642840987988,-0.00315853013604869,0.00127952296619444,non-significant,mean_evi,THN,Human Modification,0.00113215640363345,Non-Significant
(Intercept),0.0362465228487097,3.07405958363912,0.23838594531956,-0.0240050449906172,0.0964980906880365,non-significant,mean_evi,SMB,Intercept,0.0307405958363912,Non-Significant
n_depo_usa_coef,0.0177893407863807,0.321157283359279,3.12560638005182e-08,0.0114946580325388,0.0240840235402225,significant,mean_evi,SMB,N Deposition Trend,0.00321157283359279,Sig. Positive
nitrogen_depo,0.00262999591932497,0.612424670723458,0.667613440409448,-0.00937352762685482,0.0146335194655048,non-significant,mean_evi,SMB,N Deposition Mean,0.00612424670723458,Non-Significant
mat_coef,-0.00267092351379135,0.711893916307726,0.707531309966574,-0.0166240442734228,0.0112821972458401,non-significant,mean_evi,SMB,MAT Trend,0.00711893916307726,Non-Significant
max_temp_coef,-0.00279599938715338,0.74393757181832,0.707046299541424,-0.0173771757947925,0.0117851770204857,non-significant,mean_evi,SMB,Max Temp Trend,0.0074393757181832,Non-Significant
map_coef,-0.0197649622850536,1.8071026684484,0.274099445856621,-0.0551841745866423,0.015654250016535,non-significant,mean_evi,SMB,MAP Trend,0.018071026684484,Non-Significant
