term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0213824572365126,2.82824012075611,0.44963873101281,-0.0340510491303071,0.0768159636033324,non-significant,mean_evi,THN,Intercept,0.0282824012075611,Non-Significant
n_depo_usa_coef,0.0043719683874795,0.128038481840911,0.000640232533306745,0.00186241414339765,0.00688152263156136,significant,mean_evi,THN,N Deposition Trend,0.00128038481840911,Sig. Positive
mat_coef,-0.0103650055257776,1.30207434718492,0.426020529358205,-0.035885662730602,0.0151556516790468,non-significant,mean_evi,THN,MAT Trend,0.0130207434718492,Non-Significant
max_temp_coef,0.00689889365781565,0.801112653962674,0.389159241830547,-0.00880291435985277,0.0226007016754841,non-significant,mean_evi,THN,Max Temp Trend,0.00801112653962674,Non-Significant
map_coef,0.00994986105619251,0.926330373706599,0.28278522313282,-0.00820621426845684,0.0281059363808419,non-significant,mean_evi,THN,MAP Trend,0.00926330373706599,Non-Significant
human_modification,-0.00094849520224132,0.113308231757148,0.402551482243335,-0.00316933654468143,0.00127234614019879,non-significant,mean_evi,THN,Human Modification,0.00113308231757148,Non-Significant
(Intercept),0.0364549836227186,3.07264934685793,0.2354820264006,-0.0237689435756969,0.0966789108211341,non-significant,mean_evi,SMB,Intercept,0.0307264934685793,Non-Significant
n_depo_usa_coef,0.0177057595452909,0.320995687808752,3.56669422199665e-08,0.0114142440642394,0.0239972750263425,significant,mean_evi,SMB,N Deposition Trend,0.00320995687808752,Sig. Positive
mat_coef,-0.00248066280987,0.711383453723225,0.72731547692676,-0.0164237785028452,0.0114624528831052,non-significant,mean_evi,SMB,MAT Trend,0.00711383453723225,Non-Significant
max_temp_coef,-0.0030951296768706,0.744788472795444,0.677733422630695,-0.0176929837436613,0.0115027243899201,non-significant,mean_evi,SMB,Max Temp Trend,0.00744788472795444,Non-Significant
map_coef,-0.0191634764960834,1.80597339434285,0.288665659378168,-0.0545605550252032,0.0162336020330365,non-significant,mean_evi,SMB,MAP Trend,0.0180597339434285,Non-Significant
human_modification,0.00432430746825687,0.123471206000311,0.000463539982736911,0.00190427183065078,0.00674434310586296,significant,mean_evi,SMB,Human Modification,0.00123471206000311,Sig. Positive
(Intercept),0.0379161225511443,2.45585248839678,0.122636886594085,-0.0102185862214326,0.0860508313237213,non-significant,mean_evi,TMB,Intercept,0.0245585248839678,Non-Significant
n_depo_usa_coef,-0.00369140324823186,0.217746118879339,0.0900486215524071,-0.00795922717826691,0.000576420681803185,non-significant,mean_evi,TMB,N Deposition Trend,0.00217746118879339,Non-Significant
mat_coef,0.0109751443419525,0.473621687391237,0.0205052400679854,0.00169215926908422,0.0202581294148207,significant,mean_evi,TMB,MAT Trend,0.00473621687391237,Sig. Positive
max_temp_coef,0.0035227241207964,0.715725460590456,0.622594563242441,-0.0105054949067765,0.0175509431483693,non-significant,mean_evi,TMB,Max Temp Trend,0.00715725460590456,Non-Significant
map_coef,-0.0134460872110002,1.33256232649761,0.312975853206431,-0.0395643088103534,0.012672134388353,non-significant,mean_evi,TMB,MAP Trend,0.0133256232649761,Non-Significant
human_modification,0.00711605331027139,0.151804786047755,2.79433554121379e-06,0.0041406795037354,0.0100914271168074,significant,mean_evi,TMB,Human Modification,0.00151804786047755,Sig. Positive
(Intercept),-0.000384965224799918,2.02426151243967,0.984827411282105,-0.0400604908686175,0.0392905604190177,non-significant,mean_evi,SLN,Intercept,0.0202426151243967,Non-Significant
n_depo_usa_coef,0.00528819706264605,0.430918965539561,0.219775114620162,-0.00315781466192934,0.0137342087872214,non-significant,mean_evi,SLN,N Deposition Trend,0.00430918965539561,Non-Significant
mat_coef,-0.00326045715137254,0.400934107757157,0.416110867786309,-0.0111187656634128,0.00459785136066775,non-significant,mean_evi,SLN,MAT Trend,0.00400934107757157,Non-Significant
max_temp_coef,0.00416692419974116,0.654114399537925,0.524115579724028,-0.00865371803120218,0.0169875664306845,non-significant,mean_evi,SLN,Max Temp Trend,0.00654114399537925,Non-Significant
map_coef,-0.00718480651549401,1.25062522883787,0.565642221868232,-0.0316970610007163,0.0173274479697282,non-significant,mean_evi,SLN,MAP Trend,0.0125062522883787,Non-Significant
human_modification,-0.00598625678475966,0.108819618521768,3.85229936775241e-08,-0.00811912130778632,-0.003853392261733,significant,mean_evi,SLN,Human Modification,0.00108819618521768,Sig. Negative
(Intercept),0.0586728533332532,3.78009648066722,0.120656032857891,-0.0154170376878244,0.132762744354331,non-significant,mean_evi,SLB,Intercept,0.0378009648066722,Non-Significant
n_depo_usa_coef,0.00710540220786978,0.335141115540559,0.0340191815620176,0.000536636343274821,0.0136741680724647,significant,mean_evi,SLB,N Deposition Trend,0.00335141115540559,Sig. Positive
mat_coef,-0.0025394488805479,0.363523914462841,0.484839781884075,-0.00966451760401959,0.0045856198429238,non-significant,mean_evi,SLB,MAT Trend,0.00363523914462841,Non-Significant
max_temp_coef,-0.00476609849572141,0.612802107531487,0.43673109494627,-0.0167770198033386,0.00724482281189573,non-significant,mean_evi,SLB,Max Temp Trend,0.00612802107531487,Non-Significant
map_coef,-0.00603867184742089,1.55947164158271,0.698597148629291,-0.0366043160224419,0.0245269723276002,non-significant,mean_evi,SLB,MAP Trend,0.0155947164158271,Non-Significant
human_modification,0.00549743033161204,0.124119777188381,9.55731221436905e-06,0.00306468269871977,0.00793017796450431,significant,mean_evi,SLB,Human Modification,0.00124119777188381,Sig. Positive
