term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0285608131412067,2.67986947473943,0.286549253069631,-0.0239646285636862,0.0810862548460995,non-significant,mean_evi,THN,Intercept,0.0267986947473943,Non-Significant
mean_n_depo_usa,-0.00384131973661947,0.308381001439099,0.212912544860245,-0.0098855873648258,0.00220294789158687,non-significant,mean_evi,THN,N Deposition Mean,0.00308381001439099,Non-Significant
mat_coef,-0.007793117420363,1.24955798250234,0.532852302889964,-0.0322844538774089,0.0166982190366829,non-significant,mean_evi,THN,MAT Trend,0.0124955798250234,Non-Significant
max_temp_coef,0.00632918616817457,0.771755990470566,0.412168868646748,-0.00879723124504853,0.0214556035813977,non-significant,mean_evi,THN,Max Temp Trend,0.00771755990470566,Non-Significant
map_coef,0.00876044561052677,0.872061209915118,0.315118585471282,-0.00833195410380954,0.0258528453248631,non-significant,mean_evi,THN,MAP Trend,0.00872061209915118,Non-Significant
human_modification,-0.000529341253396076,0.112066714054842,0.636686470886496,-0.00272584884887099,0.00166716634207883,non-significant,mean_evi,THN,Human Modification,0.00112066714054842,Non-Significant
(Intercept),0.0379413622259531,3.13625497869148,0.226400383562088,-0.0235292353563998,0.099411959808306,non-significant,mean_evi,SMB,Intercept,0.0313625497869148,Non-Significant
mean_n_depo_usa,-0.0106339053207366,0.696081922018237,0.126627231112436,-0.024277110992294,0.00300930035082089,non-significant,mean_evi,SMB,N Deposition Mean,0.00696081922018237,Non-Significant
mat_coef,-0.0022359506409004,0.7219391312539,0.756785220053407,-0.0163859576134768,0.011914056331676,non-significant,mean_evi,SMB,MAT Trend,0.007219391312539,Non-Significant
max_temp_coef,-0.00301973985260383,0.753989578958821,0.688796689750804,-0.0177979356001967,0.0117584558949891,non-significant,mean_evi,SMB,Max Temp Trend,0.00753989578958821,Non-Significant
map_coef,-0.0162086046113742,1.83154147242941,0.376196178334794,-0.0521068174709906,0.0196896082482421,non-significant,mean_evi,SMB,MAP Trend,0.0183154147242941,Non-Significant
human_modification,0.00497585746652054,0.122634333281067,5.00267114523522e-05,0.00257222453421163,0.00737949039882945,significant,mean_evi,SMB,Human Modification,0.00122634333281067,Sig. Positive
(Intercept),0.0501346173226523,2.45960448392116,0.041539862874299,0.00192636943779765,0.0983428652075069,significant,mean_evi,TMB,Intercept,0.0245960448392116,Sig. Positive
mean_n_depo_usa,-0.0348990550861204,0.399406473051684,2.69374446007791e-18,-0.0427274219579334,-0.0270706882143074,significant,mean_evi,TMB,N Deposition Mean,0.00399406473051684,Sig. Negative
mat_coef,0.00452758290131091,0.480625260802389,0.346201766112113,-0.00489267221041592,0.0139478380130377,non-significant,mean_evi,TMB,MAT Trend,0.00480625260802389,Non-Significant
max_temp_coef,0.00391764170187849,0.713096882337928,0.582752062404381,-0.0100590571919449,0.0178943405957019,non-significant,mean_evi,TMB,Max Temp Trend,0.00713096882337929,Non-Significant
map_coef,-0.00774967523971319,1.32586403985696,0.5588949939389,-0.0337366104209095,0.0182372599414831,non-significant,mean_evi,TMB,MAP Trend,0.0132586403985696,Non-Significant
human_modification,0.00567082306151754,0.153628158542739,0.000224132782243372,0.00265971115407986,0.00868193496895523,significant,mean_evi,TMB,Human Modification,0.00153628158542739,Sig. Positive
(Intercept),-0.0142449320011349,2.0578630229115,0.488812845509501,-0.0545790472502003,0.0260891832479305,non-significant,mean_evi,SLN,Intercept,0.020578630229115,Non-Significant
mean_n_depo_usa,-0.016148751413912,0.472685659885237,0.000636700998657902,-0.0254133903476626,-0.00688411248016134,significant,mean_evi,SLN,N Deposition Mean,0.00472685659885237,Sig. Negative
mat_coef,-0.00655179721794842,0.417996808069454,0.117041238944251,-0.0147445346561097,0.00164094022021288,non-significant,mean_evi,SLN,MAT Trend,0.00417996808069454,Non-Significant
max_temp_coef,0.00681484658813938,0.661515925126168,0.302943380964358,-0.00615086554433352,0.0197805587206123,non-significant,mean_evi,SLN,Max Temp Trend,0.00661515925126168,Non-Significant
map_coef,-0.00712166792253848,1.24793857846761,0.568230991763986,-0.0315812640605036,0.0173379282154267,non-significant,mean_evi,SLN,MAP Trend,0.0124793857846761,Non-Significant
human_modification,-0.0057845312778123,0.108223643556326,9.20891924304776e-08,-0.00790571469151629,-0.00366334786410832,significant,mean_evi,SLN,Human Modification,0.00108223643556326,Sig. Negative
(Intercept),0.0570161304305695,3.8358115677351,0.13719915197409,-0.0181657762970386,0.132198037158178,non-significant,mean_evi,SLB,Intercept,0.038358115677351,Non-Significant
mean_n_depo_usa,-0.00314976544706856,0.603276520955672,0.601604979316973,-0.0149739852577997,0.00867445436366261,non-significant,mean_evi,SLB,N Deposition Mean,0.00603276520955672,Non-Significant
mat_coef,-0.00293219337693567,0.367613866584097,0.425104140423612,-0.010137425161984,0.00427303840811262,non-significant,mean_evi,SLB,MAT Trend,0.00367613866584097,Non-Significant
max_temp_coef,-0.00473324267069863,0.613573438123512,0.440474045891901,-0.0167592820579195,0.00729279671652221,non-significant,mean_evi,SLB,Max Temp Trend,0.00613573438123512,Non-Significant
map_coef,-0.00833118267230315,1.57545541026209,0.596947730047264,-0.03921010871344,0.0225477433688337,non-significant,mean_evi,SLB,MAP Trend,0.0157545541026209,Non-Significant
human_modification,0.00560201858539118,0.12402957717205,6.35044000505609e-06,0.003171038872819,0.00803299829796335,significant,mean_evi,SLB,Human Modification,0.0012402957717205,Sig. Positive
