term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,super_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0319147829374172,1.6782073951651,0.0572186157138053,-0.000978082007818868,0.0648076478826532,non-significant,mean_evi,not_cold_tall,Intercept,0.016782073951651,Non-Significant
mean_n_depo_usa,-0.0143653109599086,0.311074689955562,3.89318662558827e-06,-0.0204623748830376,-0.00826824703677961,significant,mean_evi,not_cold_tall,N Deposition Mean,0.00311074689955562,Sig. Negative
mat_coef,-0.00435626589344486,0.611910792264978,0.476525489532067,-0.0163497174218384,0.0076371856349487,non-significant,mean_evi,not_cold_tall,MAT Trend,0.00611910792264978,Non-Significant
max_temp_coef,0.00985237293282737,0.582765844612941,0.0909204255002935,-0.00156983762158626,0.021274583487241,non-significant,mean_evi,not_cold_tall,Max Temp Trend,0.00582765844612941,Non-Significant
map_coef,0.0184206796660492,0.712207022054928,0.00970300935112562,0.00446142203377264,0.0323799372983258,significant,mean_evi,not_cold_tall,MAP Trend,0.00712207022054928,Sig. Positive
human_modification,0.00150302812930994,0.129542185697887,0.245952640783143,-0.00103599871036865,0.00404205496898852,non-significant,mean_evi,not_cold_tall,Human Modification,0.00129542185697887,Non-Significant
(Intercept),0.0398994396294124,2.49287788705046,0.109495699708119,-0.00896096695677652,0.0887598462156014,non-significant,mean_evi,cold_short,Intercept,0.0249287788705046,Non-Significant
mean_n_depo_usa,-0.00230827830742113,0.533901794167621,0.665498123656428,-0.0127727534731065,0.00815619685826424,non-significant,mean_evi,cold_short,N Deposition Mean,0.00533901794167621,Non-Significant
mat_coef,-0.00450673626588776,0.34529070302705,0.191840007879489,-0.0112744340452179,0.00226096151344241,non-significant,mean_evi,cold_short,MAT Trend,0.0034529070302705,Non-Significant
max_temp_coef,0.00224121630788485,0.497246180157756,0.6521922880669,-0.00750480882320717,0.0119872414389769,non-significant,mean_evi,cold_short,Max Temp Trend,0.00497246180157756,Non-Significant
map_coef,-0.0108269068617901,1.13493874795292,0.34011373961192,-0.0330717063216675,0.0114178925980872,non-significant,mean_evi,cold_short,MAP Trend,0.0113493874795292,Non-Significant
human_modification,0.00507359747439016,0.0967988018591174,1.61041577932519e-07,0.00317634095795146,0.00697085399082886,significant,mean_evi,cold_short,Human Modification,0.000967988018591174,Sig. Positive
(Intercept),0.0558647243832474,1.65207985513635,0.00072199437034661,0.023483959222575,0.0882454895439199,significant,mean_evi,cold_tall,Intercept,0.0165207985513635,Sig. Positive
mean_n_depo_usa,-0.0306737283158054,0.408445045307246,6.10178401811541e-14,-0.0386792512038274,-0.0226682054277834,significant,mean_evi,cold_tall,N Deposition Mean,0.00408445045307246,Sig. Negative
mat_coef,0.0047365936816398,0.436240843095203,0.277588309482019,-0.00381372684302618,0.0132869142063058,non-significant,mean_evi,cold_tall,MAT Trend,0.00436240843095203,Non-Significant
max_temp_coef,-0.00242397413229869,0.60870285181008,0.690471470102355,-0.0143545500277763,0.00950660176317888,non-significant,mean_evi,cold_tall,Max Temp Trend,0.0060870285181008,Non-Significant
map_coef,0.00394011507626248,0.989184084657851,0.690397701084872,-0.0154478929830314,0.0233281231355564,non-significant,mean_evi,cold_tall,MAP Trend,0.00989184084657851,Non-Significant
human_modification,0.000913869394314118,0.131987192214254,0.488696861145467,-0.00167307957308526,0.0035008183617135,non-significant,mean_evi,cold_tall,Human Modification,0.00131987192214254,Non-Significant
(Intercept),0.0225257215710621,2.26792956473265,0.320610121035886,-0.0219256978976978,0.066977141039822,non-significant,mean_evi,not_cold_short,Intercept,0.0226792956473265,Non-Significant
mean_n_depo_usa,-0.00113344182647971,0.275010951246236,0.680237916646017,-0.00652365647090594,0.00425677281794652,non-significant,mean_evi,not_cold_short,N Deposition Mean,0.00275010951246236,Non-Significant
mat_coef,-0.00118616886330686,0.418125374875318,0.776652783477424,-0.0093814262108631,0.00700908848424938,non-significant,mean_evi,not_cold_short,MAT Trend,0.00418125374875318,Non-Significant
max_temp_coef,0.00876622544700326,0.566673221712902,0.12188727112832,-0.00234056969856962,0.0198730205925761,non-significant,mean_evi,not_cold_short,Max Temp Trend,0.00566673221712902,Non-Significant
map_coef,0.017144710030457,0.893898256220888,0.0551282701463653,-0.000375695791472366,0.0346651158523865,non-significant,mean_evi,not_cold_short,MAP Trend,0.00893898256220888,Non-Significant
human_modification,-0.00541295141382496,0.0959536907152503,1.71038137429752e-08,-0.00729364375184386,-0.00353225907580605,significant,mean_evi,not_cold_short,Human Modification,0.000959536907152503,Sig. Negative
