term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0245063726425587,0.861680950628241,0.00445642526658037,0.00761742601024517,0.0413953192748722,significant,mean_evi,SLN,Intercept,0.00861680950628241,Sig. Positive
mean_n_depo_zhu,0.00394135175257653,0.0981045998178627,5.88946235863197e-05,0.00201850159614642,0.00586420190900664,significant,mean_evi,SLN,Nitrogen Deposition (Zhu),0.000981045998178627,Sig. Positive
mat_coef,-0.00413505375034284,0.454108834909182,0.362517149211619,-0.0130355869145628,0.00476547941387713,non-significant,mean_evi,SLN,MAT Trend,0.00454108834909182,Non-Significant
max_temp_coef,6.5436398567819e-05,0.210682451620595,0.975222393387295,-0.00406393965319585,0.00419481245033148,non-significant,mean_evi,SLN,Max Temp Trend,0.00210682451620595,Non-Significant
map_coef,-0.003846667967904,0.144132677532257,0.00761357237243239,-0.00667166844753623,-0.00102166748827177,significant,mean_evi,SLN,MAP Trend,0.00144132677532257,Sig. Negative
human_modification,0.00493603802354854,0.103115196885125,1.69788913933863e-06,0.00291498016460009,0.00695709588249699,significant,mean_evi,SLN,Human Modification,0.00103115196885125,Sig. Positive
(Intercept),0.0621388372795832,1.16485383778614,9.66918116522513e-08,0.0393077020589748,0.0849699725001917,significant,mean_evi,TMC,Intercept,0.0116485383778614,Sig. Positive
mean_n_depo_zhu,0.00336698334855483,0.523828668984235,0.520383252800933,-0.00690005856353617,0.0136340252606458,non-significant,mean_evi,TMC,Nitrogen Deposition (Zhu),0.00523828668984235,Non-Significant
mat_coef,0.00592474705256697,1.47185387666848,0.687292930282715,-0.0229235889301353,0.0347730830352692,non-significant,mean_evi,TMC,MAT Trend,0.0147185387666848,Non-Significant
max_temp_coef,-0.00640585708922916,0.540677822601546,0.236115161434408,-0.0170031424122195,0.00419142823376114,non-significant,mean_evi,TMC,Max Temp Trend,0.00540677822601546,Non-Significant
map_coef,0.00313986892577185,1.47092864080688,0.830968697787584,-0.025690332434043,0.0319700702855867,non-significant,mean_evi,TMC,MAP Trend,0.0147092864080688,Non-Significant
human_modification,-0.00132886729973911,0.187891574064885,0.479416651803259,-0.00501154215141085,0.00235380755193263,non-significant,mean_evi,TMC,Human Modification,0.00187891574064885,Non-Significant
(Intercept),0.03155227424539,1.0038211468455,0.00167465045697905,0.0118773797672181,0.0512271687235619,significant,mean_evi,SLD,Intercept,0.010038211468455,Sig. Positive
mean_n_depo_zhu,0.00511850961829894,0.218583604953805,0.0192121222613251,0.00083427096120435,0.00940274827539352,significant,mean_evi,SLD,Nitrogen Deposition (Zhu),0.00218583604953805,Sig. Positive
mat_coef,-0.00419914487247213,0.714556538054264,0.556772089714352,-0.0182044530183357,0.00980616327339144,non-significant,mean_evi,SLD,MAT Trend,0.00714556538054264,Non-Significant
max_temp_coef,-0.001951794127405,0.358759248576891,0.586422902363915,-0.00898347539951206,0.00507988714470207,non-significant,mean_evi,SLD,Max Temp Trend,0.00358759248576891,Non-Significant
map_coef,-0.00229973532190324,0.290257930931012,0.42819537521927,-0.00798879076815106,0.00338932012434459,non-significant,mean_evi,SLD,MAP Trend,0.00290257930931012,Non-Significant
human_modification,0.00254698045341997,0.116886427919343,0.0293473564552154,0.000256006466200847,0.00483795444063909,significant,mean_evi,SLD,Human Modification,0.00116886427919343,Sig. Positive
(Intercept),0.0724494457304724,1.19756186818752,1.46887263950979e-09,0.048977233113997,0.0959216583469478,significant,mean_evi,TMB,Intercept,0.0119756186818752,Sig. Positive
mean_n_depo_zhu,0.0174301622093352,0.308907483337195,1.69174597261823e-08,0.0113755755359261,0.0234847488827442,significant,mean_evi,TMB,Nitrogen Deposition (Zhu),0.00308907483337195,Sig. Positive
mat_coef,0.0142334593476903,1.12071085757472,0.204081320527104,-0.00773247346077418,0.0361993921561548,non-significant,mean_evi,TMB,MAT Trend,0.0112071085757472,Non-Significant
max_temp_coef,-0.0055118963650329,0.549237337185775,0.315601912987182,-0.0162769481738741,0.00525315544380829,non-significant,mean_evi,TMB,Max Temp Trend,0.00549237337185775,Non-Significant
map_coef,-0.029002926090657,1.31911961506276,0.0279102987213546,-0.0548576705458871,-0.00314818163542683,significant,mean_evi,TMB,MAP Trend,0.0131911961506276,Sig. Negative
human_modification,0.00263234500055754,0.206946306458912,0.203385595981131,-0.00142380260603713,0.00668849260715223,non-significant,mean_evi,TMB,Human Modification,0.00206946306458912,Non-Significant
(Intercept),0.0353306643461569,0.765306959468446,3.91125838792521e-06,0.0203306479405753,0.0503306807517384,significant,mean_evi,THN,Intercept,0.00765306959468446,Sig. Positive
mean_n_depo_zhu,0.0280115427079371,0.373228354472333,6.23032833702792e-14,0.0206962669602794,0.0353268184555949,significant,mean_evi,THN,Nitrogen Deposition (Zhu),0.00373228354472333,Sig. Positive
mat_coef,-0.0120164680010148,0.518923864398317,0.0205811536753129,-0.0221873757432218,-0.0018455602588078,significant,mean_evi,THN,MAT Trend,0.00518923864398317,Sig. Negative
max_temp_coef,-0.00258970274139456,0.392203192497202,0.509066680524939,-0.0102768853143397,0.0050974798315506,non-significant,mean_evi,THN,Max Temp Trend,0.00392203192497202,Non-Significant
map_coef,0.000172786746566929,0.197692882307899,0.930352630338117,-0.0037019937466679,0.00404756723980176,non-significant,mean_evi,THN,MAP Trend,0.00197692882307899,Non-Significant
human_modification,-0.00218225816207015,0.230803060764513,0.344404671225084,-0.00670599815305461,0.00234148182891432,non-significant,mean_evi,THN,Human Modification,0.00230803060764513,Non-Significant
(Intercept),0.0719870317313401,1.41172643973873,3.45225462878237e-07,0.0443171935124609,0.0996568699502192,significant,mean_evi,SMD,Intercept,0.0141172643973873,Sig. Positive
mean_n_depo_zhu,0.001663964817524,0.418761663617186,0.691112351638107,-0.00654376378937284,0.00987169342442085,non-significant,mean_evi,SMD,Nitrogen Deposition (Zhu),0.00418761663617186,Non-Significant
mat_coef,0.0264538399803985,1.20426053803184,0.0280580710424442,0.00285033343497441,0.0500573465258226,significant,mean_evi,SMD,MAT Trend,0.0120426053803184,Sig. Positive
max_temp_coef,-0.0118386532618206,0.591114394648564,0.0452201584392173,-0.0234244953969324,-0.000252811126708745,significant,mean_evi,SMD,Max Temp Trend,0.00591114394648564,Sig. Negative
map_coef,-0.00349157522975116,0.488549226153968,0.474816487923192,-0.0130671400623689,0.00608398960286661,non-significant,mean_evi,SMD,MAP Trend,0.00488549226153968,Non-Significant
human_modification,-0.00157434360358322,0.157154791237727,0.316466584094897,-0.00465457751184267,0.00150589030467623,non-significant,mean_evi,SMD,Human Modification,0.00157154791237727,Non-Significant
(Intercept),0.0586281225697783,1.19751514455084,9.84092367033799e-07,0.0351568257365818,0.0820994194029748,significant,mean_evi,THD,Intercept,0.0119751514455084,Sig. Positive
