term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0842320525958293,1.09928098370148,1.88891043159841e-14,0.0626861453152803,0.105777959876378,significant,mean_evi,Temperate Broadleaf & Mixed Forests,Intercept,0.0109928098370148,Sig. Positive
mean_n_depo_zhu,0.0160292674263651,0.24506424406344,6.23350307799041e-11,0.0112260082427217,0.0208325266100086,significant,mean_evi,Temperate Broadleaf & Mixed Forests,Nitrogen Deposition (Zhu),0.0024506424406344,Sig. Positive
mat_coef,0.0148759810627511,1.09229244426607,0.173240064785934,-0.00653295084486387,0.0362849129703661,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,MAT Trend,0.0109229244426607,Non-Significant
max_temp_coef,0.00359757826677983,0.467490668290443,0.441573540187748,-0.00556523883171285,0.0127603953652725,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,Max Temp Trend,0.00467490668290443,Non-Significant
map_coef,-0.0144254408166476,0.704248088628334,0.0405363141608641,-0.0282287033537629,-0.000622178279532226,significant,mean_evi,Temperate Broadleaf & Mixed Forests,MAP Trend,0.00704248088628334,Sig. Negative
human_modification,-0.00247454908532324,0.138563721633341,0.0741344314540771,-0.00519039802933673,0.000241299858690243,non-significant,mean_evi,Temperate Broadleaf & Mixed Forests,Human Modification,0.00138563721633341,Non-Significant
(Intercept),0.0341225354823726,1.50710638868124,0.0235753187285397,0.00458325026422028,0.0636618207005249,significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Intercept,0.0150710638868124,Sig. Positive
mean_n_depo_zhu,0.00942916253052993,0.271530468694659,0.000516255576706122,0.00410716534411461,0.0147511597169452,significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Nitrogen Deposition (Zhu),0.00271530468694659,Sig. Positive
mat_coef,0.00617147577005474,0.813704368108583,0.448193058455279,-0.00977712984487348,0.022120081384983,non-significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",MAT Trend,0.00813704368108583,Non-Significant
max_temp_coef,0.00539660149926934,0.466007346291182,0.246853610316993,-0.00373714248803782,0.0145303454865765,non-significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Max Temp Trend,0.00466007346291182,Non-Significant
map_coef,-0.0162195550147918,1.08945841142968,0.136559058222083,-0.0375729398788136,0.00513382984923002,non-significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",MAP Trend,0.0108945841142968,Non-Significant
