Predictor,Biome,Estimate
Fire Frequency,Reference (Arid),-0.18 (-0.31; -0.04)
Fire Frequency,Cold,-10.49 (-10.95; -10.02)
Fire Frequency,Polar,-2.52 (-8.56; 3.51)
Fire Frequency,Temperate,-0.13 (-0.31; 0.04)
Fire Frequency,Tropical,-0.08 (-0.22; 0.06)
HMI Change,Reference (Arid),0.58 (0.52; 0.64)
HMI Change,Cold,-0.34 (-0.45; -0.24)
HMI Change,Polar,-1.17 (-1.84; -0.5)
HMI Change,Temperate,-1.74 (-1.85; -1.63)
HMI Change,Tropical,-1.87 (-1.94; -1.8)
Intercept,Reference (Arid),5.95 (5.56; 6.33)
Intercept,Cold,-3.67 (-4.24; -3.1)
Intercept,Polar,-1.25 (-3.28; 0.78)
Intercept,Temperate,-0.08 (-0.51; 0.35)
Intercept,Tropical,-0.63 (-1.49; 0.24)
MAP,Reference (Arid),2.47 (1.89; 3.06)
MAP,Cold,-2.76 (-3.43; -2.1)
MAP,Polar,-2.17 (-2.84; -1.5)
MAP,Temperate,-2.57 (-3.17; -1.97)
MAP,Tropical,-2.62 (-3.22; -2.01)
MAT,Reference (Arid),-0.19 (-0.49; 0.1)
MAT,Cold,-0.4 (-0.9; 0.11)
MAT,Polar,0.18 (-0.5; 0.86)
MAT,Temperate,0.25 (-0.33; 0.82)
MAT,Tropical,2.38 (1.44; 3.32)
Mat Trend,Reference (Arid),-0.08 (-0.37; 0.22)
Mat Trend,Cold,0.51 (0.16; 0.86)
Mat Trend,Polar,1.46 (1.06; 1.87)
Mat Trend,Temperate,-0.05 (-0.5; 0.4)
Mat Trend,Tropical,0.68 (0.2; 1.15)
Max. Temperature Trend,Reference (Arid),-0.31 (-0.52; -0.09)
Max. Temperature Trend,Cold,0.1 (-0.15; 0.34)
Max. Temperature Trend,Polar,-0.34 (-0.62; -0.06)
Max. Temperature Trend,Temperate,0.55 (0.29; 0.81)
Max. Temperature Trend,Tropical,0.58 (0.31; 0.85)
N Deposition,Reference (Arid),1.77 (1.49; 2.05)
N Deposition,Cold,-0.21 (-0.51; 0.09)
N Deposition,Polar,-1.23 (-1.57; -0.89)
N Deposition,Temperate,0.37 (0.08; 0.65)
N Deposition,Tropical,-0.21 (-0.54; 0.12)
Precipitation trend,Reference (Arid),-0.32 (-0.54; -0.11)
Precipitation trend,Cold,0.1 (-0.35; 0.55)
Precipitation trend,Polar,0.41 (0.02; 0.8)
Precipitation trend,Temperate,0.33 (0.09; 0.58)
Precipitation trend,Tropical,0.09 (-0.15; 0.33)
