tier,filter_call,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,divisor,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
climatic_region_Arid,climatic_region == 'Arid',20,1000,mesh_1,53606,TRUE,8,evi_coef,15,-288125.690198032,104864,-2.74761300539777,cv_climatic_region_Arid_mesh_1_grid,builds/cv_models/cv_climatic_region_Arid_mesh_1_grid.Rds,EVI Trend
climatic_region_Arid,climatic_region == 'Arid',40,1000,mesh_2,21315,TRUE,8,evi_coef,15,-289380.946922432,104864,-2.75958333577235,cv_climatic_region_Arid_mesh_2_grid,builds/cv_models/cv_climatic_region_Arid_mesh_2_grid.Rds,EVI Trend
climatic_region_Arid,climatic_region == 'Arid',80,1000,mesh_3,7760,TRUE,8,evi_coef,15,-293799.402267044,104864,-2.80171843785326,cv_climatic_region_Arid_mesh_3_grid,builds/cv_models/cv_climatic_region_Arid_mesh_3_grid.Rds,EVI Trend
climatic_region_Arid,climatic_region == 'Arid',320,1000,mesh_5,1553,TRUE,8,evi_coef,15,-307893.982527562,104864,-2.9361266261783,cv_climatic_region_Arid_mesh_5_grid,builds/cv_models/cv_climatic_region_Arid_mesh_5_grid.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',20,1000,mesh_1,29205,TRUE,8,evi_coef,5,-404725.399437153,108313,-3.73662810038641,cv_olson_biome_Boreal_Forests_Taiga_mesh_1_grid,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_1_grid.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',40,1000,mesh_2,9521,TRUE,8,evi_coef,5,-409769.178674059,108313,-3.78319480278506,cv_olson_biome_Boreal_Forests_Taiga_mesh_2_grid,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_2_grid.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',160,1000,mesh_4,1152,TRUE,8,evi_coef,5,-419085.226487648,108313,-3.8692052337914,cv_olson_biome_Boreal_Forests_Taiga_mesh_4_grid,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_4_grid.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',320,1000,mesh_5,543,TRUE,8,evi_coef,5,-423431.088090948,108313,-3.90932841017189,cv_olson_biome_Boreal_Forests_Taiga_mesh_5_grid,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_5_grid.Rds,EVI Trend
climatic_region_Cold,climatic_region == 'Cold',20,1000,mesh_1,45510,TRUE,8,evi_coef,9,-394440.691141805,107596,-3.66594196012681,cv_climatic_region_Cold_mesh_1_grid,builds/cv_models/cv_climatic_region_Cold_mesh_1_grid.Rds,EVI Trend
climatic_region_Cold,climatic_region == 'Cold',40,1000,mesh_2,17746,TRUE,8,evi_coef,9,-396813.636050523,107596,-3.68799617133093,cv_climatic_region_Cold_mesh_2_grid,builds/cv_models/cv_climatic_region_Cold_mesh_2_grid.Rds,EVI Trend
