tier,filter_call,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,divisor,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
climatic_region_Arid,climatic_region == 'Arid',20,1000,mesh_1,53606,TRUE,8,evi_coef,15,-288235.86712939,104864,-2.74866367036724,cv_climatic_region_Arid_mesh_1_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Arid_mesh_1_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Arid,climatic_region == 'Arid',40,1000,mesh_2,21315,TRUE,8,evi_coef,15,-289232.036268704,104864,-2.75816329978548,cv_climatic_region_Arid_mesh_2_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Arid_mesh_2_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Arid,climatic_region == 'Arid',80,1000,mesh_3,7760,TRUE,8,evi_coef,15,-293930.111485981,104864,-2.8029649020253,cv_climatic_region_Arid_mesh_3_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Arid_mesh_3_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Arid,climatic_region == 'Arid',320,1000,mesh_5,1553,TRUE,8,evi_coef,15,-307899.435909266,104864,-2.93617863050491,cv_climatic_region_Arid_mesh_5_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Arid_mesh_5_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',20,1000,mesh_1,29205,TRUE,8,evi_coef,5,-404555.971439561,108313,-3.73506385604278,cv_olson_biome_Boreal_Forests_Taiga_mesh_1_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_1_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',40,1000,mesh_2,9521,TRUE,8,evi_coef,5,-409637.710655875,108313,-3.78198102403105,cv_olson_biome_Boreal_Forests_Taiga_mesh_2_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_2_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Boreal Forests/Taiga,olson_biome == 'Boreal Forests/Taiga',160,1000,mesh_4,1152,TRUE,8,evi_coef,5,-419038.45424252,108313,-3.86877340894002,cv_olson_biome_Boreal_Forests_Taiga_mesh_4_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Boreal_Forests_Taiga_mesh_4_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Cold,climatic_region == 'Cold',20,1000,mesh_1,45510,TRUE,8,evi_coef,9,-394251.93180169,107596,-3.66418762594976,cv_climatic_region_Cold_mesh_1_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Cold_mesh_1_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Cold,climatic_region == 'Cold',80,1000,mesh_3,6518,TRUE,8,evi_coef,9,-400660.717505124,107596,-3.72375104562553,cv_climatic_region_Cold_mesh_3_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Cold_mesh_3_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Cold,climatic_region == 'Cold',160,1000,mesh_4,2780,TRUE,8,evi_coef,9,-405512.945342569,107596,-3.76884777633526,cv_climatic_region_Cold_mesh_4_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Cold_mesh_4_grid_zhu_sensitivity.Rds,EVI Trend
climatic_region_Cold,climatic_region == 'Cold',320,1000,mesh_5,1576,TRUE,8,evi_coef,9,-410759.141091206,107596,-3.81760605497608,cv_climatic_region_Cold_mesh_5_grid_zhu_sensitivity,builds/cv_models/cv_climatic_region_Cold_mesh_5_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Deserts & Xeric Shrublands,olson_biome == 'Deserts & Xeric Shrublands',20,1000,mesh_1,41354,TRUE,8,evi_coef,10,-262279.92159441,103007,-2.54623396074451,cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_1_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_1_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Deserts & Xeric Shrublands,olson_biome == 'Deserts & Xeric Shrublands',40,1000,mesh_2,15742,TRUE,8,evi_coef,10,-264804.816759271,103007,-2.57074584017854,cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_2_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_2_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Deserts & Xeric Shrublands,olson_biome == 'Deserts & Xeric Shrublands',80,1000,mesh_3,5436,TRUE,8,evi_coef,10,-270255.881292552,103007,-2.62366520035096,cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_3_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_3_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Deserts & Xeric Shrublands,olson_biome == 'Deserts & Xeric Shrublands',320,1000,mesh_5,1151,FALSE,6,evi_coef,10,-285469.571672622,103007,-2.77136089462485,cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_5_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Deserts_&_Xeric_Shrublands_mesh_5_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Flooded Grasslands & Savannas,olson_biome == 'Flooded Grasslands & Savannas',20,1000,mesh_1,4627,TRUE,8,evi_coef,1,-98034.1305458432,27597,-3.55234737637581,cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_1_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_1_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Flooded Grasslands & Savannas,olson_biome == 'Flooded Grasslands & Savannas',40,1000,mesh_2,2146,TRUE,8,evi_coef,1,-101278.135881718,27597,-3.66989657867586,cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_2_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_2_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Flooded Grasslands & Savannas,olson_biome == 'Flooded Grasslands & Savannas',160,1000,mesh_4,770,TRUE,8,evi_coef,1,-105580.275481378,27597,-3.82578814658761,cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_4_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_4_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Flooded Grasslands & Savannas,olson_biome == 'Flooded Grasslands & Savannas',320,1000,mesh_5,627,TRUE,8,evi_coef,1,-106625.646183939,27597,-3.86366801405728,cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_5_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Flooded_Grasslands_&_Savannas_mesh_5_grid_zhu_sensitivity.Rds,EVI Trend
"olson_biome_Mediterranean Forests, Woodlands & Scrub","olson_biome == 'Mediterranean Forests, Woodlands & Scrub'",20,1000,mesh_1,7699,TRUE,8,evi_coef,1,-195097.424575288,66479,-2.9347226127843,"cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_1_grid_zhu_sensitivity","builds/cv_models/cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_1_grid_zhu_sensitivity.Rds",EVI Trend
"olson_biome_Mediterranean Forests, Woodlands & Scrub","olson_biome == 'Mediterranean Forests, Woodlands & Scrub'",40,1000,mesh_2,3277,TRUE,8,evi_coef,1,-202231.180997461,66479,-3.0420310323179,"cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_2_grid_zhu_sensitivity","builds/cv_models/cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_2_grid_zhu_sensitivity.Rds",EVI Trend
"olson_biome_Mediterranean Forests, Woodlands & Scrub","olson_biome == 'Mediterranean Forests, Woodlands & Scrub'",80,1000,mesh_3,1616,TRUE,8,evi_coef,1,-208676.483012969,66479,-3.13898348370116,"cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_3_grid_zhu_sensitivity","builds/cv_models/cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_3_grid_zhu_sensitivity.Rds",EVI Trend
"olson_biome_Mediterranean Forests, Woodlands & Scrub","olson_biome == 'Mediterranean Forests, Woodlands & Scrub'",160,1000,mesh_4,1057,TRUE,8,evi_coef,1,-213499.321126487,66479,-3.21153027462036,"cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_4_grid_zhu_sensitivity","builds/cv_models/cv_olson_biome_Mediterranean_Forests,_Woodlands_&_Scrub_mesh_4_grid_zhu_sensitivity.Rds",EVI Trend
olson_biome_Montane Grasslands & Shrublands,olson_biome == 'Montane Grasslands & Shrublands',20,1000,mesh_1,15881,TRUE,8,evi_coef,1,-498745.335835078,172843,-2.88553968535074,cv_olson_biome_Montane_Grasslands_&_Shrublands_mesh_1_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Montane_Grasslands_&_Shrublands_mesh_1_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Montane Grasslands & Shrublands,olson_biome == 'Montane Grasslands & Shrublands',40,1000,mesh_2,5726,TRUE,8,evi_coef,1,-514481.165278136,172843,-2.97658085822472,cv_olson_biome_Montane_Grasslands_&_Shrublands_mesh_2_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Montane_Grasslands_&_Shrublands_mesh_2_grid_zhu_sensitivity.Rds,EVI Trend
olson_biome_Montane Grasslands & Shrublands,olson_biome == 'Montane Grasslands & Shrublands',80,1000,mesh_3,2475,TRUE,8,evi_coef,1,-528389.02832756,172843,-3.05704615360507,cv_olson_biome_Montane_Grasslands_&_Shrublands_mesh_3_grid_zhu_sensitivity,builds/cv_models/cv_olson_biome_Montane_Grasslands_&_Shrublands_mesh_3_grid_zhu_sensitivity.Rds,EVI Trend
