tier,formula,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
prot_global_change,"nitrogen_depo_scaled:protection_cat_broad +
    prec_coef_scaled:protection_cat_broad +
    hmi_change_scaled:protection_cat_broad +
    max_temp_coef_scaled:protection_cat_broad +
    mat_coef_scaled:protection_cat_broad +
    fire_frequency_scaled:protection_cat_broad  +
    mean_mat_scaled +
    mean_prec_scaled +
    (1 | pair_id)",20,1000,mesh_1,11137,TRUE,8,evi_coef,-36705.3738398718,10236,-3.58590991010862,cv_prot_global_change_mesh_1_pa_dataset,builds/cv_models/cv_prot_global_change_mesh_1_pa_dataset.Rds,EVI Trend
prot_global_change,"nitrogen_depo_scaled:protection_cat_broad +
    prec_coef_scaled:protection_cat_broad +
    hmi_change_scaled:protection_cat_broad +
    max_temp_coef_scaled:protection_cat_broad +
    mat_coef_scaled:protection_cat_broad +
    fire_frequency_scaled:protection_cat_broad  +
    mean_mat_scaled +
    mean_prec_scaled +
    (1 | pair_id)",40,1000,mesh_2,7154,TRUE,8,evi_coef,-36686.9010092172,10236,-3.58410521778207,cv_prot_global_change_mesh_2_pa_dataset,builds/cv_models/cv_prot_global_change_mesh_2_pa_dataset.Rds,EVI Trend
prot_global_change,"nitrogen_depo_scaled:protection_cat_broad +
    prec_coef_scaled:protection_cat_broad +
    hmi_change_scaled:protection_cat_broad +
    max_temp_coef_scaled:protection_cat_broad +
    mat_coef_scaled:protection_cat_broad +
    fire_frequency_scaled:protection_cat_broad  +
    mean_mat_scaled +
    mean_prec_scaled +
    (1 | pair_id)",80,1000,mesh_3,4113,TRUE,8,evi_coef,-36777.7532159363,10236,-3.59298097068545,cv_prot_global_change_mesh_3_pa_dataset,builds/cv_models/cv_prot_global_change_mesh_3_pa_dataset.Rds,EVI Trend
prot_global_change,"nitrogen_depo_scaled:protection_cat_broad +
    prec_coef_scaled:protection_cat_broad +
    hmi_change_scaled:protection_cat_broad +
    max_temp_coef_scaled:protection_cat_broad +
    mat_coef_scaled:protection_cat_broad +
    fire_frequency_scaled:protection_cat_broad  +
    mean_mat_scaled +
    mean_prec_scaled +
    (1 | pair_id)",160,1000,mesh_4,2308,TRUE,8,evi_coef,-36933.8428343894,10236,-3.60823005416074,cv_prot_global_change_mesh_4_pa_dataset,builds/cv_models/cv_prot_global_change_mesh_4_pa_dataset.Rds,EVI Trend
prot_global_change,"nitrogen_depo_scaled:protection_cat_broad +
    prec_coef_scaled:protection_cat_broad +
    hmi_change_scaled:protection_cat_broad +
    max_temp_coef_scaled:protection_cat_broad +
    mat_coef_scaled:protection_cat_broad +
    fire_frequency_scaled:protection_cat_broad  +
    mean_mat_scaled +
    mean_prec_scaled +
    (1 | pair_id)",320,1000,mesh_5,1457,TRUE,8,evi_coef,-37318.741254822,10236,-3.64583247897831,cv_prot_global_change_mesh_5_pa_dataset,builds/cv_models/cv_prot_global_change_mesh_5_pa_dataset.Rds,EVI Trend
prot_importance,0 + protection_cat_broad + (1 | pair_id),20,1000,mesh_1,11137,TRUE,8,evi_coef,-36695.0234692678,10236,-3.58489873673972,cv_prot_importance_mesh_1_pa_dataset,builds/cv_models/cv_prot_importance_mesh_1_pa_dataset.Rds,EVI Trend
prot_importance,0 + protection_cat_broad + (1 | pair_id),40,1000,mesh_2,7154,TRUE,8,evi_coef,-36710.5509755036,10236,-3.58641568732939,cv_prot_importance_mesh_2_pa_dataset,builds/cv_models/cv_prot_importance_mesh_2_pa_dataset.Rds,EVI Trend
prot_importance,0 + protection_cat_broad + (1 | pair_id),80,1000,mesh_3,4113,TRUE,8,evi_coef,-36781.3403322854,10236,-3.59333141190752,cv_prot_importance_mesh_3_pa_dataset,builds/cv_models/cv_prot_importance_mesh_3_pa_dataset.Rds,EVI Trend
prot_importance,0 + protection_cat_broad + (1 | pair_id),160,1000,mesh_4,2308,TRUE,8,evi_coef,-36936.3703572371,10236,-3.60847697901886,cv_prot_importance_mesh_4_pa_dataset,builds/cv_models/cv_prot_importance_mesh_4_pa_dataset.Rds,EVI Trend
prot_importance,0 + protection_cat_broad + (1 | pair_id),320,1000,mesh_5,1457,TRUE,8,evi_coef,-37302.1178968349,10236,-3.64420846979629,cv_prot_importance_mesh_5_pa_dataset,builds/cv_models/cv_prot_importance_mesh_5_pa_dataset.Rds,EVI Trend
