term,estimate,std.error,conf.low,conf.high,sig,response,tier,dev_explained_fixed,dev_explained_full,dev_explained_n_dep,dev_explained_no_dep,dev_explained_spatial,cutoff,max_inner_edge,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),5.83851721832916,0.235960101253537,5.37604391808381,6.30099051857452,positive,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,(Intercept)
n_depo_coef_scaled,0.00632284256859482,0.0513881617754819,-0.0943961037430675,0.107041788880257,non-significant,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,N Deposition Trend
prec_coef_scaled,0.294734941960484,0.102711067346818,0.0934249491470535,0.496044934773914,positive,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Precipitation Trend
hmi_change_scaled,0.625972042708212,0.0206873182467394,0.585425644007884,0.666518441408539,positive,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,HMI Change
mat_coef_scaled,-0.00744647679328701,0.139412701238904,-0.280690350208981,0.265797396622407,non-significant,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAT Trend
max_temp_coef_scaled,0.146672838607097,0.12326700187256,-0.0949260455453508,0.388271722759546,non-significant,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Max. Temperature Trend
fire_frequency_scaled,-0.25048505764278,0.0282528994917566,-0.305859723105453,-0.195110392180107,negative,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Fire frequency
mean_mat_scaled,-0.214108372627243,0.167553842392085,-0.542507869187029,0.114291123932543,non-significant,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAT
mean_prec_scaled,0.99750553663669,0.139053775286879,0.724965145160081,1.2700459281133,positive,evi_coef,Europe,0.208052562073233,0.784530889768265,0.018977825425171,0.207680958580176,0.782596030718372,20,1000,28778,627078.394829803,102368,subset_Europe_n_depo_trend,builds/models/subset_Europe_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAP
(Intercept),3.60763528335846,0.232865939496279,3.15122642871967,4.06404413799725,positive,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,(Intercept)
n_depo_coef_scaled,0.124045855091756,0.0377764019023317,0.0500054678976754,0.198086242285836,positive,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,N Deposition Trend
prec_coef_scaled,1.28167902082962,0.222954294525132,0.844696633361829,1.71866140829742,positive,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Precipitation Trend
hmi_change_scaled,-0.171451803108627,0.0193529363605668,-0.209382861370434,-0.133520744846821,negative,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,HMI Change
mat_coef_scaled,0.706979107497401,0.151640791389337,0.409768617787148,1.00418959720765,positive,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAT Trend
max_temp_coef_scaled,-0.472091893322405,0.172251461014665,-0.809698553195553,-0.134485233449257,negative,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Max. Temperature Trend
fire_frequency_scaled,-0.867871433308031,0.017942227170634,-0.90303755236491,-0.832705314251152,negative,evi_coef,USA,0.112285885728323,0.72477890788005,0.00726126056963716,0.111296305784505,0.721470717658385,20,1000,14088,1201707.85711971,194358,subset_USA_n_depo_trend,builds/models/subset_USA_n_depo_trend.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Fire frequency
