term,estimate,std.error,conf.low,conf.high,sig,response,tier,dev_explained_fixed,dev_explained_full,dev_explained_spatial,morans_i_fixed,morans_i_full,morans_i_p_val_fixed,morans_i_p_val_full,cutoff,max_inner_edge,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term,protection
(Intercept),5.53751355340254,0.341153493818342,4.86886499231859,6.2061621144865,positive,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,Intercept,
mean_mat_scaled,0.331373429077499,0.29375628680388,-0.244378313290325,0.907125171445322,non-significant,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,MAT,
mean_prec_scaled,-0.00801690280773341,0.186695294391725,-0.373932955898618,0.357899150283151,non-significant,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,MAP,
nitrogen_depo_scaled:protection_cat_broadstrict,1.06153136845192,0.223239878202481,0.623989247261947,1.49907348964189,positive,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,Nitrogen Deposition,Protected
nitrogen_depo_scaled:protection_cat_broadunprotected,1.26334348910053,0.222308580508626,0.827626677849401,1.69906030035166,positive,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,Nitrogen Deposition,Control
protection_cat_broadstrict:prec_coef_scaled,0.194890001281153,0.194545479653601,-0.186412132194976,0.576192134757282,non-significant,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,Precipitation Trend,Protected
protection_cat_broadunprotected:prec_coef_scaled,-0.00824845754785792,0.211376541002359,-0.422538865089135,0.406041949993419,non-significant,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,Precipitation Trend,Control
protection_cat_broadstrict:hmi_change_scaled,0.594170571218597,0.16090617139386,0.278800270396402,0.909540872040793,positive,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,HMI Change,Protected
protection_cat_broadunprotected:hmi_change_scaled,0.717404412311196,0.114431462030441,0.49312286803327,0.941685956589122,positive,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,HMI Change,Control
protection_cat_broadstrict:max_temp_coef_scaled,-0.0537146094657569,0.25452920164563,-0.552582677704925,0.445153458773411,non-significant,evi_coef,prot_global_change,0.49479269101327,0.531589045207622,0.522030053385545,0.13791123287344,-0.00800665047055787,2.96082256183914e-143,0.927608289926121,40,1000,7154,74060.9673367637,10236,subset_prot_global_change_pa_dataset,builds/models/subset_prot_global_change_pa_dataset.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,EVI Trend,Max. Temperature Trend,Protected
