term,estimate,std.error,conf.low,conf.high,sig,response,tier,dev_explained_fixed,dev_explained_full,dev_explained_n_dep,dev_explained_no_dep,dev_explained_spatial,cutoff,max_inner_edge,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),3.43237029206957,0.180942999718153,3.07772852936735,3.78701205477179,positive,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,(Intercept)
mean_n_depo_zhu_scaled,0.214735914725065,0.0303478332313174,0.155255254582855,0.274216574867275,positive,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,N Deposition
prec_coef_scaled,-0.159553391934772,0.0624319334706032,-0.281917733022355,-0.0371890508471889,negative,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Precipitation Trend
hmi_change_scaled,0.403531535674274,0.014200277470443,0.375699503261731,0.431363568086818,positive,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,HMI Change
mat_coef_scaled,0.432278401045166,0.12441356514034,0.188432294181871,0.67612450790846,positive,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAT Trend
max_temp_coef_scaled,-0.235619059703748,0.0847644689811991,-0.401754366075561,-0.0694837533319354,negative,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Max. Temperature Trend
fire_frequency_scaled,-0.0282234654936283,0.0253979131932003,-0.0780024606347755,0.0215555296475189,non-significant,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,Fire frequency
mean_mat_scaled,-0.238144129314836,0.114412275217035,-0.462388068129509,-0.0139001905001623,negative,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAT
mean_prec_scaled,0.581101626052992,0.0633772765811076,0.456884446515788,0.705318805590197,positive,evi_coef,climatic_region_Arid,0.120708040749009,0.808251323115549,0.0732328380624748,0.101793130118785,0.805173747573416,20,1000,53606,582492.487062269,104864,subset_climatic_region_Aridgrid_zhu_sensitivity,builds/models/subset_climatic_region_Aridgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,MAP
(Intercept),6.00810726101669,0.190318360240082,5.63509012934941,6.38112439268396,positive,evi_coef,climatic_region_Cold,0.0560926926475792,0.637373727631643,0.0188408511087943,0.0463463965196596,0.630282142088691,20,1000,45510,799482.575827129,107596,subset_climatic_region_Coldgrid_zhu_sensitivity,builds/models/subset_climatic_region_Coldgrid_zhu_sensitivity.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,(Intercept)
