control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
Algeria_101170,Africa,SLD,100k,Algeria_101170_control,251.037948608398,7,12,7,1227.08740234375,35.8530426025391,0,0.199497804045677,15.720630645752,25.8344821929932,1125.88000488281,Arid,"Mediterranean Forests, Woodlands & Scrub",Bare
Chile_101,South America,SLD,100k,Chile_101_control,119.782836914063,7,12,5,305.027923583984,26.0885276794434,0,0.262123942375183,15.3394565582275,13.1219320297241,1267.52673339844,Arid,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Chile_100,South America,SMD,100k,Chile_100_control,284.294067382813,8,12,9,196.254409790039,20.6298885345459,0.00778131792321801,0.457346737384796,13.1636142730713,43.2400207519531,2559.80932617188,Temperate,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Canada_100641,North America,TMC,100k,Canada_100641_control,341.885772705078,5,4,26,282.90771484375,26.3408145904541,0,0.0137721905484796,4.11563110351563,104.65754699707,3321.51025390625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
Canada_100206,North America,SLB,100k,Canada_100206_control,142.578796386719,13,6,27,101.243911743164,22.5246353149414,0.00553261348977685,0,-5.71636629104614,38.2741050720215,1126.42565917969,Cold,Boreal Forests/Taiga,Shrubs
Canada_101421,North America,TMN,100k,Canada_101421_control,367.839172363281,23,5,15,144.413467407227,18.042163848877,0.000748901802580804,0.0543160252273083,9.74845409393311,257.994293212891,4400.8662109375,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Albania_101474,Europe,TMN,100k,Albania_101474_control,792.469665527344,23,12,15,1228.13024902344,28.2843208312988,0.00111691723577678,0.260007858276367,10.9809274673462,125.204574584961,2367.02416992188,Temperate,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Mexico_101414,North America,SHD,100k,Mexico_101414_control,313.063140869141,9,2,3,158.856002807617,32.7227172851563,0.00652948301285505,0.513025224208832,25.308687210083,100.501419067383,4043.24267578125,Tropical,Tropical & Subtropical Dry Broadleaf Forests,OpenForestOther
United States of America_1000,North America,TMC,100k,United States of America_1000_control,283.881225585938,5,13,7,2080.47241210938,29.4411125183106,0.000375717412680388,0.0492729917168617,8.21005439758301,29.1381130218506,1541.21203613281,Arid,Deserts & Xeric Shrublands,OpenForestOther
Vietnam_10113,Asia,THD,100k,Vietnam_10113_control,2081.11865234375,12,1,11,245.173095703125,32.1666145324707,0.000843549845740199,0.264158517122269,23.2789249420166,214.731002807617,3698.14404296875,Temperate,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Venezuela_101136,South America,THD,100k,Venezuela_101136_control,739.115844726563,12,2,2,126.480361938477,34.7801666259766,0.067711815237999,0.180049255490303,26.7675094604492,160.999755859375,3775.51806640625,Tropical,Tropical & Subtropical Dry Broadleaf Forests,HerbacousVeg
Canada_101546,North America,TMC,100k,Canada_101546_control,793.839172363281,5,4,26,516.549377441406,24.4160308837891,0,0.03107900172472,2.83837461471558,128.506790161133,2919.4658203125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
Malaysia_10000,Asia,THN,100k,Malaysia_10000_control,1457.56579589844,24,1,1,15.045599937439,32.762825012207,0.00214613415300846,0.181551575660706,27.7932052612305,191.081771850586,5094.3271484375,Tropical,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Canada_101637,North America,TMN,100k,Canada_101637_control,367.839172363281,23,5,15,216.85221862793,21.0337181091309,0.000634035037364811,0.0449022054672241,9.52486705780029,258.498748779297,4451.87548828125,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Mexico_101571,North America,TMD,100k,Mexico_101571_control,1185.140625,11,13,7,2411.11962890625,27.9780139923096,0.000295785808702931,0.502851963043213,15.2552785873413,35.5541839599609,1967.19836425781,Arid,Deserts & Xeric Shrublands,Shrubs
China_100024,Asia,THD,100k,China_100024_control,1966.65490722656,12,1,14,203.561538696289,33.5056419372559,0.00166026933584362,0.557978689670563,21.0205326080322,135.298492431641,3822.80981445313,Temperate,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Burundi_101434,Africa,THD,100k,Burundi_101434_control,454.214172363281,12,7,3,1185.60546875,32.8187141418457,0.0335839614272118,0.261051326990128,22.7920627593994,62.8006591796875,3566.36254882813,Tropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HerbacousVeg
Canada_101642,North America,TMC,100k,Canada_101642_control,243.646362304688,5,5,26,1474.97778320313,26.6150856018066,9.65703511610627e-05,0.0235551781952381,3.35596203804016,96.0137252807617,2146.58642578125,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Albania_101424,Europe,TMC,100k,Albania_101424_control,936.421813964844,5,4,26,1571.64123535156,24.0380783081055,2.59082844422665e-05,0.283060044050217,6.09870004653931,138.278793334961,2865.69067382813,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestEvergreenNeedle
Canada_101646_A,North America,TMN,100k,Canada_101646_A_control,367.839172363281,23,5,9,467.625274658203,21.3633289337158,0.000530191988218576,0.0450369939208031,8.08567237854004,275.894927978516,3901.89233398438,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101597_A,North America,TMN,100k,Canada_101597_A_control,301.405151367188,23,5,15,199.518203735352,18.9017086029053,0.00612807180732489,0.0086264768615365,8.73526382446289,313.351287841797,2975.0810546875,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Kazakhstan_100017,Asia,SLB,500k,Kazakhstan_100017_control,228.022018432617,13,13,5,372.195526123047,35.1228828430176,0,0.092660203576088,9.5068416595459,16.0819416046143,712.150390625,Arid,Deserts & Xeric Shrublands,HerbacousVeg
