unique_id,WDPA_PID,NAME,STATUS_YR,country,continent,max_species_body_mass,mean_species_body_mass,median_species_body_mass,herbivore_fg,predator_fg,trophic_groups,predator_fg_simple,herbivore_fg_simple,n_species_pa,n_herbi_sp_pa,n_carni_sp_pa,n_mixed_feeder_sp_pa,n_grazer_sp_pa,n_browser_sp_pa,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,n_native_sp_pa,n_introduced_sp_pa,percent_native_sp,percent_introduced_sp,intro_native_ratio,prop_species_w_occasional_predator,prop_species_w_regular_predator,elephant_yn,GIS_AREA
Afghanistan_555705310,555705310,Wakhan National Park,2016,Afghanistan,Asia,180.5204,80.00083,50.84985,5,4,5,3,3,10,5,5,3,0,2,,0,0.666666666666667,10,0,1,0,0,1,1,no,10873.1025768722
Afghanistan_15504,15504,Nuristan,2020,Afghanistan,Asia,180.5204,58.0045285714286,42.93605,8,5,6,3,3,14,8,6,3,0,5,,0,1.66666666666667,14,0,1,0,0,1,1,no,5733.33576410871
Afghanistan_1122,1122,Band-i-Amir National Park,2009,Afghanistan,Asia,180.5204,58.5377222222222,41.7051,4,4,5,3,3,9,3,6,2,0,1,,0,0.5,9,0,1,0,0,1,1,no,606.326426269428
Afghanistan_1735,1735,Тигровая балка,1938,Afghanistan,Asia,162.564,54.1600125,39.44165,3,2,3,1,3,8,3,5,0,0,2,,,Inf,8,0,1,0,0,1,1,no,517.975542121785
Afghanistan_167080,167080,Даштиджум,1983,Afghanistan,Asia,180.5204,61.1591363636364,41,5,3,4,2,3,11,5,6,2,0,2,,0,1,11,0,1,0,0,1,1,no,368.030957870354
Afghanistan_167134,167134,Зоркуль,1972,Afghanistan,Asia,180.5204,85.3223571428572,44.167,4,3,5,3,2,7,4,3,3,0,1,,0,0.333333333333333,7,0,1,0,0,1,1,no,244.09343151847
Albania_1050,1050,Mavrovo,1949,Albania,Europe,180.5204,51.1001111111111,26.1,6,2,5,2,3,9,6,3,3,0,2,,0,0.666666666666667,9,0,1,0,0,1,1,no,735.208605128215
Albania_16385,16385,Nacionalni park Skadarsko jezero,1983,Albania,Europe,180.5204,59.4072857142857,32.1833,5,1,4,1,3,7,5,2,2,0,2,,0,1,7,0,1,0,0,1,1,no,432.910541756419
Albania_101425,101425,Bredhi i Hotoves-Dangelli,2008,Albania,Europe,180.5204,59.9335,27.34165,4,1,3,1,2,6,4,2,1,0,2,,0,2,6,0,1,0,0,1,1,no,343.58706850219
Albania_555513697,555513697,Shebenik-Jabllanice,2008,Albania,Europe,180.5204,50.456375,24.3,5,2,4,2,2,8,5,3,2,0,2,,0,1,8,0,1,0,0,1,1,no,339.196116173147
Albania_392905,392905,Ethniko Parko limnon Mikris kai Megalis Prespas,2009,Albania,Europe,180.5204,67.3812625,27.34165,4,2,4,2,2,8,4,4,1,0,2,,0,2,8,0,1,0,0,1,1,no,323.80782514938
Albania_344,344,Mali i Dajtit,2006,Albania,Europe,180.5204,59.9335,27.34165,4,1,3,1,2,6,4,2,1,0,2,,0,2,6,0,1,0,0,1,1,no,292.110475308853
Albania_181967,181967,Prespa,1999,Albania,Europe,180.5204,53.9358571428571,22.5,4,2,4,2,2,7,4,3,1,0,2,,0,2,7,0,1,0,0,1,1,no,277.497610766992
Albania_346,346,Mali i Tomorrit,2012,Albania,Europe,180.5204,55.1001428571429,26.1,5,1,3,1,2,7,5,2,2,0,2,,0,1,7,0,1,0,0,1,1,no,261.033776393326
Albania_2516,2516,Galichica,1958,Albania,Europe,180.5204,50.456375,24.3,5,2,4,2,2,8,5,3,2,0,2,,0,1,8,0,1,0,0,1,1,no,243.503504757661
Albania_392902,392902,"Ethniko Parko Limnon Mikris kai Megalis Prespas - Zones Prostasias tis Fysis B2, B4, B6",2009,Albania,Europe,180.5204,67.3812625,27.34165,4,2,4,2,2,8,4,4,1,0,2,,0,2,8,0,1,0,0,1,1,no,242.554537833146
Albania_101424,101424,Lugina e Valbones,1996,Albania,Europe,180.5204,50.456375,24.3,5,2,4,2,2,8,5,3,2,0,2,,0,1,8,0,1,0,0,1,1,no,214.032237475555
Albania_555638701,555638701,Lurë–Mali i Dejës,2018,Albania,Europe,180.5204,51.1001111111111,26.1,6,2,5,2,3,9,6,3,3,0,2,,0,0.666666666666667,9,0,1,0,0,1,1,no,202.567530455586
Albania_555560009,555560009,Nacionalni park Prokletije,2009,Albania,Europe,180.5204,50.456375,24.3,5,2,4,2,2,8,5,3,2,0,2,,0,1,8,0,1,0,0,1,1,no,167.46352599977
Albania_101471,101471,Lumi i Gashit,1996,Albania,Europe,180.5204,50.456375,24.3,5,2,4,2,2,8,5,3,2,0,2,,0,1,8,0,1,0,0,1,1,no,102.700273573725
Albania_181966,181966,Butrinti,2013,Albania,Europe,180.5204,59.9335,27.34165,4,1,3,1,2,6,4,2,1,0,2,,0,2,6,0,1,0,0,1,1,no,94.2274533208792
