WDPAID,WDPA_PID,NAME,unique_id,area_km2,STATUS_YR,iucnCatOrd,IUCN_CAT,DESIG_ENG,GIS_AREA,Continent,Country,own_pa_id,functional_biome_num,nitrogen_depo,olson_biome_num,human_modification,climatic_region_num,MaxTemp,elevation,MAT,MAP,BurnedAreaMean,EVI,climatic_region,olson_biome,functional_biome,land_cover,PaAge
10,10,Calilegua,Argentina_10,775.212636628645,1979,3,II,National Park,777.021195944542,South America,Argentina,1,24,416.020233154297,1,0.160312280058861,11,27.5217437744141,1302.73937988281,16.5142002105713,123.797729492188,0.015609254129231,4371.20068359375,Temperate,Tropical & Subtropical Moist Broadleaf Forests,THN,ClosedForestEvergreenBroad,44
100,100,La Campana,Chile_100,76.1725342949864,1967,3,II,National Park,76.2117277633525,South America,Chile,2,8,274.601104736328,4,0.205250635743141,9,29.0938243865967,999.854125976563,13.7693634033203,33.6002883911133,2.21622831304558e-05,2217.08178710937,Temperate,Temperate Broadleaf & Mixed Forests,SMD,Shrubs,56
1000,1000,Bryce Canyon,United States of America_1000,145.638704302677,1928,3,II,National Park,145.892226014985,North America,United States of America,3,5,274.928527832031,13,0.0689037069678307,7,28.5103931427002,2365.00756835938,7.05980682373047,34.3785400390625,0.00223055086098611,1691.96960449219,Arid,Deserts & Xeric Shrublands,TMC,HerbacousVeg,95
10000,10000,Sungkai,Malaysia_10000,35.787840970263,1934,1,Ia,Wildlife Reserve,36.0266388241677,Asia,Malaysia,4,24,1553.28979492188,1,0.305411577224731,1,32.7920837402344,210.346313476563,26.4094848632813,269.450378417969,0,5196.10400390625,Tropical,Tropical & Subtropical Moist Broadleaf Forests,THN,ClosedForestEvergreenBroad,89
100017,100017,"State National Nature Park """"Altyn-Yemel""""",Kazakhstan_100017,3116.69097440873,1996,3,II,State National Nature Park,3110.47664616147,Asia,Kazakhstan,5,13,284.724334716797,8,0.112392984330654,7,34.0140991210938,832.727233886719,10.8658666610718,26.3593330383301,0.000880528066772968,745.953674316406,Arid,"Temperate Grasslands, Savannas & Shrublands",SLB,Bare,27
100018,100018,Ile-Alatau State National Nature Park,Kyrgyzstan_100018,2015.43330300524,1996,3,II,State National Nature Park,2011.81456130109,Asia,Kyrgyzstan,6,14,263.558654785156,10,0.254906266927719,29,18.7192115783691,2623.13598632813,-0.65404200553894,120.567947387695,0.000705975107848644,1514.45324707031,Polar,Montane Grasslands & Shrublands,SMB,HerbacousVeg,27
100024,100024,Kinmen,China_100024,36.2595671354571,1995,3,II,National Park,36.4202318637331,Asia,China,7,8,1258.50317382813,1,0.630282580852509,14,29.7950954437256,32.0367965698242,21.3122520446777,100.161186218262,0.000216635831748135,2914.66162109375,Temperate,Tropical & Subtropical Moist Broadleaf Forests,SMD,ClosedForestEvergreenBroad,28
100204,100204,Amisk Park Reserve,Canada_100204,1980.2979892341,1995,2,Ib,Park Reserve,1980.29698845897,North America,Canada,10,17,234.155410766602,6,5.94254124735016e-05,27,23.7643756866455,286.062774658203,-3.08425331115723,47.1585845947266,0.0111063765361905,1470.24145507813,Cold,Boreal Forests/Taiga,TMB,Shrubs,28
100205,100205,Caribou River Provincial Park,Canada_100205,7635.85031603075,1995,2,Ib,Provincial Park,7635.84973131458,North America,Canada,11,13,127.437728881836,6,3.7543829156661e-10,27,21.6236381530762,182.848220825195,-7.28243255615234,38.1481857299805,0.000631938630249351,808.109924316406,Cold,Boreal Forests/Taiga,SLB,HerbacousVeg,28
100206,100206,Numaykoos Lake Provincial Park,Canada_100206,3603.01566433941,1995,2,Ib,Provincial Park,3603.01785904294,North America,Canada,12,13,160.714050292969,6,0,19,22.9225978851318,196.868240356445,-5.10092401504517,41.5473670959473,0.0177351757884026,1111.1416015625,Cold,Boreal Forests/Taiga,SLB,Shrubs,28
100285,100285,Stein Valley Nlaka'Pamux Heritage Park,Canada_100285,1084.51083006388,1995,3,II,A - Park,1084.51080050893,North America,Canada,14,5,307.947875976563,5,0.00138885295018554,19,21.5073738098145,1721.11657714844,0.709621489048004,114.389122009277,0.00621087197214365,1225.52319335938,Cold,Temperate Conifer Forests,TMC,ClosedForestEvergreenNeedle,28
100641,100641,Blue Mountain,Canada_100641,23.4683063542297,1994,3,II,Protected Natural Area,23.4683016282187,North America,Canada,16,5,341.885772705078,4,0.0308172944933176,26,26.134635925293,257.327117919922,4.17317962646484,95.8132400512695,0,3395.90258789063,Cold,Temperate Broadleaf & Mixed Forests,TMC,ClosedForestEvergreenNeedle,29
100672,100672_A,Ivvavik National Park Of Canada,United States of America_100672_A,9695.8380602991,1984,3,II,National Park,9695.83768642797,North America,United States of America,18,13,26.2336254119873,11,1.26391603316733e-06,19,18.0843677520752,488.550964355469,-8.7084493637085,56.5619239807129,0.000927549786865711,1058.91174316406,Cold,Tundra,SLB,HerbacousVeg,39
100676,100676_A,Aulavik National Park Of Canada,Canada_100676_A,12092.6727455991,1992,3,II,National Park,12092.6742751007,North America,Canada,20,13,15.0285968780518,11,8.12501127711585e-07,29,14.3476934432983,170.64778137207,-14.028468132019,19.3186187744141,,386.605072021484,Polar,Tundra,SLB,HerbacousVeg,31
100713,100713,Elbow-Sheep Wildland Provincial Park,Canada_100713,800.829263085127,1996,2,Ib,Wildland Provincial Park,800.82925296565,North America,Canada,32,16,237.78564453125,5,0.00465707527473569,27,20.1581993103027,2200.80200195313,-2.63625073432922,86.654670715332,1.49035595313762e-05,1175.69677734375,Cold,Temperate Conifer Forests,TLB,ClosedForestEvergreenNeedle,27
